tinh,huyen,xa,m2tt,m2c9,m2c10a,m2c10b,m2c11,m2c12,m2c13a,m2c13b,m2c13c,m2c14a,m2c14b,m2c14c,m2c15
101,15,03,1,2,1,2007,3,2,,,,,,,
101,15,03,2,6,6,2006,350,2,,,,,,,
101,15,09,1,5,6,2007,1200,2,,,,,,,
101,15,09,2,6,3,2005,6,1,1.0,0.0,,1.0,0.0,,3000.0
101,15,19,1,6,3,2007,8,1,1.0,0.0,,1.0,3.0,0.0,10000.0
101,15,33,1,7,3,2008,2320,1,1.0,0.0,,1.0,0.0,,189000.0
101,15,39,1,7,3,2008,1847,1,1.0,0.0,,1.0,0.0,,119105.0
101,15,39,2,6,9,2006,31,1,1.0,0.0,,1.0,0.0,,73000.0
101,15,39,3,6,8,2005,14,1,1.0,0.0,,1.0,0.0,,190000.0
101,15,51,1,6,3,2005,2,1,1.0,0.0,,1.0,0.0,,6300.0
101,17,13,1,7,1,2008,2250,1,1.0,0.0,,1.0,0.0,,27600.0
101,17,13,2,6,2,2006,78,1,1.0,0.0,,1.0,0.0,,665000.0
101,17,27,1,7,1,2008,2400,1,1.0,0.0,,1.0,0.0,,520000.0
101,17,27,2,6,2,2007,100,2,,,,,,,
101,17,27,3,6,10,2005,1450,1,1.0,0.0,,1.0,0.0,,1879000.0
101,17,31,1,6,3,2008,100,2,,,,,,,
101,17,31,2,7,2,2008,1555,1,1.0,0.0,,1.0,0.0,,123500.0
101,17,31,3,4,5,2006,70,2,,,,,,,
101,17,31,4,6,2,2006,65,1,1.0,0.0,,1.0,0.0,,570600.0
101,17,33,1,6,3,2008,64,1,1.0,0.0,,1.0,0.0,,95800.0
101,17,33,2,7,2,2008,1970,1,1.0,0.0,,1.0,0.0,,232500.0
101,17,33,3,6,2,2006,165,1,1.0,0.0,,1.0,0.0,,1250000.0
101,17,35,1,7,2,2008,28,1,1.0,0.0,,1.0,0.0,,35460.0
101,17,35,2,7,2,2008,3250,1,1.0,0.0,,1.0,0.0,,211420.0
101,17,37,1,7,2,2008,2078,1,1.0,0.0,,1.0,0.0,,356780.0
101,17,37,2,7,2,2008,18,1,1.0,0.0,,1.0,0.0,,21260.0
101,17,37,3,6,2,2006,1720,1,1.0,0.0,,1.0,0.0,,356780.0
101,17,39,1,7,2,2008,1358,1,1.0,0.0,,1.0,0.0,,25360.0
101,17,39,2,6,2,2006,1500,1,1.0,0.0,,1.0,0.0,,420000.0
101,21,13,1,7,1,2008,700,1,1.0,0.0,,1.0,0.0,,34685.0
101,21,13,2,6,3,2007,750,2,,,,,,,
101,23,23,1,2,7,2008,30,1,1.0,0.0,,1.0,0.0,,2000.0
