tinh,huyen,xa,m3tt1,m3c6,m3c7,m3c8,m3c9,m3c10,m3c11,m3c12
101,15,03,1,26,2,1,1,1,350,-2
101,15,03,2,26,2,1,1,1,200,-1
101,15,03,3,31,3,4,1,1,30,21
101,15,03,4,30,5,0,1,1,155,155
101,15,03,5,28,1,1,1,1,30,4
101,15,09,1,15,4,3,1,1,9,2
101,15,09,2,21,4,5,1,1,-2,-2
101,15,09,3,18,4,5,1,1,20,20
101,15,09,4,26,4,5,1,1,60,-2
101,15,09,5,20,4,5,1,1,35,12
101,15,19,1,28,5,3,1,1,80,30
101,15,19,2,62,1,1,1,1,20,5
101,15,19,3,51,4,3,1,1,15,4
101,15,19,4,28,4,4,1,1,20,6
101,15,19,5,27,4,4,1,1,10,3
101,15,33,1,35,5,0,1,2,100,30
101,15,33,2,20,3,3,1,2,15,5
101,15,33,3,28,5,0,1,2,20,8
101,15,33,4,27,2,0,1,2,30,0
101,15,33,5,30,5,0,1,2,65,55
101,15,39,1,36,2,4,1,1,125,16
101,15,39,2,36,4,4,1,1,84,4
101,15,39,3,28,4,4,1,1,7,0
101,15,39,4,35,5,3,1,2,19,15
101,15,39,5,30,5,3,1,2,23,23
101,15,51,1,28,5,9,1,2,250,100
101,15,51,2,28,5,9,1,2,150,50
101,15,51,3,34,5,9,1,2,40,15
101,15,51,4,21,4,3,1,1,50,35
101,15,51,5,55,4,4,1,1,15,9
101,17,13,1,28,1,1,1,1,-2,-2
101,17,13,2,29,4,2,1,1,-2,-2
101,17,13,3,51,1,1,1,2,-2,-2
101,17,13,4,14,4,3,1,1,-2,-2
101,17,27,1,29,5,4,1,2,1100,850
101,17,27,2,45,1,1,1,1,138,56
101,17,27,3,45,1,1,1,1,210,42
101,17,27,4,45,1,1,1,1,164,38
101,17,27,5,45,4,4,1,1,38,12
101,17,31,1,20,4,1,2,1,25,17
101,17,31,2,20,3,1,2,1,15,11
101,17,31,3,20,4,3,2,1,16,10
101,17,31,4,20,3,4,2,1,10,7
101,17,31,5,20,3,4,2,1,10,7
101,17,33,1,25,2,1,1,1,50,15
101,17,33,2,25,4,3,1,1,28,18
101,17,33,3,25,1,1,1,2,46,25
101,17,33,4,23,1,1,1,2,110,72
101,17,33,5,45,1,1,1,2,69,41
101,17,35,1,36,3,1,2,2,450,260
101,17,35,2,26,4,4,1,1,42,15
101,17,35,3,28,5,4,1,1,26,10
101,17,35,4,34,1,1,1,2,24,8
101,17,35,5,34,5,1,1,2,18,6
101,17,37,1,19,5,1,1,2,-2,-2
