tinh,huyen,xa,m4c15,m4c16,m4c17,m4c18,m4c19,m4c20,m4c21a,m4c21b,m4c21c,m4c22,m4c23,m4c24
101,15,03,0,883.9,,883.8,,,,,,,,
101,15,03,1,558.5,75.0,577.2,70.0,80.0,4.0,0.0,,2004.0,25.0,2.0
101,15,03,2,35.0,70.0,35.0,60.0,50.0,4.0,0.0,,2004.0,1.0,2.0
101,15,03,3,30.5,,30.0,,0.0,5.0,0.0,,,,
101,15,03,5,129.3,,117.7,,35.0,4.0,0.0,,2004.0,12.0,3.0
101,15,03,6,130.6,,123.9,,,,,,,,
101,15,09,0,2035.3,,2035.3,,,,,,,,
101,15,09,1,584.7,80.0,587.0,70.0,62.0,4.0,0.0,,1997.0,0.0,
101,15,09,2,246.4,20.0,126.6,15.0,0.0,1.0,0.0,,,,
101,15,09,3,8.0,,7.2,,0.0,1.0,0.0,,,,
101,15,09,4,622.2,,760.6,,0.0,1.0,0.0,,,,
101,15,09,5,217.4,,200.4,,65.0,4.0,0.0,,2004.0,20.0,3.0
101,15,09,6,193.1,,237.8,,,,,,,,
101,15,09,7,163.5,,115.7,,,,,,,,
101,15,19,0,1375.0,,1375.0,,,,,,,,
101,15,19,1,671.2,80.0,709.0,70.0,91.0,4.0,0.0,,2000.0,0.0,
101,15,19,2,5.9,60.0,0.0,0.0,93.0,4.0,0.0,,2000.0,0.0,
101,15,19,3,13.7,,11.2,,0.0,5.0,0.0,,,,
101,15,19,5,117.7,,116.8,,95.0,1.0,0.0,,2000.0,0.0,
101,15,19,6,531.4,,511.0,,,,,,,,
101,15,19,7,35.1,,27.0,,,,,,,,
101,15,33,0,899.8,,899.7,,,,,,,,
101,15,33,1,546.2,80.0,548.1,80.0,60.0,5.0,0.0,,2004.0,0.0,
101,15,33,3,11.0,,10.9,,0.0,4.0,0.0,,,,
101,15,33,5,67.0,,66.2,,60.0,5.0,0.0,,2004.0,0.0,
101,15,33,6,268.5,,199.4,,,,,,,,
101,15,33,7,7.1,,75.1,,,,,,,,
101,15,39,0,856.6,,856.7,,,,,,,,
101,15,39,1,546.2,100.0,560.1,80.0,85.0,5.0,4.0,0.0,2003.0,0.0,
101,15,39,2,2.5,100.0,0.0,0.0,0.0,4.0,0.0,,,,
101,15,39,3,0.0,,15.7,,0.0,9.0,,,,,
101,15,39,4,0.0,,2.5,,0.0,9.0,,,,,
101,15,39,5,105.4,,81.9,,60.0,5.0,0.0,,2004.0,0.0,
101,15,39,6,161.9,,89.0,,,,,,,,
101,15,39,7,40.6,,107.5,,,,,,,,
101,15,51,0,1373.4,,1373.4,,,,,,,,
101,15,51,1,519.5,80.0,540.2,70.0,75.0,5.0,1.0,0.0,2002.0,40.0,1.0
101,15,51,2,9.6,80.0,9.6,70.0,0.0,5.0,1.0,0.0,,,
101,15,51,3,45.4,,45.4,,0.0,5.0,1.0,0.0,,,
101,15,51,4,298.8,,299.4,,0.0,5.0,1.0,0.0,,,
101,15,51,5,228.7,,229.0,,80.0,5.0,1.0,0.0,2002.0,20.0,1.0
101,15,51,6,217.8,,249.8,,,,,,,,
101,15,51,7,53.6,,0.0,,,,,,,,
101,17,13,0,859.5,,859.5,,,,,,,,
101,17,13,1,413.5,100.0,417.1,100.0,99.0,4.0,0.0,,2000.0,13.0,2.0
101,17,13,2,35.1,100.0,35.1,100.0,40.0,4.0,0.0,,2006.0,0.0,
101,17,13,3,69.6,,69.6,,0.0,1.0,0.0,,,,
101,17,13,5,98.5,,98.5,,0.0,2.0,3.0,1.0,,,
101,17,13,6,170.1,,170.1,,,,,,,,
101,17,13,7,72.7,,69.1,,,,,,,,
101,17,27,0,737.0,,737.0,,,,,,,,
101,17,27,1,200.0,89.0,314.0,92.0,0.0,4.0,5.0,0.0,,,
101,17,27,3,50.0,,45.0,,0.0,1.0,4.0,0.0,,,
101,17,27,5,77.0,,72.0,,88.0,3.0,4.0,1.0,2003.0,45.0,1.0
101,17,27,6,359.0,,254.0,,,,,,,,
