tinh,huyen,xa,m5tt,m5c24,m5c25,m5c26,m5c27,m5c28a,m5c28b,m5c29,m5c30a,m5c30b
101,15,03,1.0,2.0,3.0,2.0,2.0,,,,0.0,10.0
101,15,03,2.0,2.0,5.0,2.0,2.0,,,,0.0,15.0
101,15,03,3.0,2.0,10.0,2.0,2.0,,,,0.0,20.0
101,15,03,4.0,2.0,3.0,2.0,2.0,,,,0.0,10.0
101,15,03,5.0,2.0,2.0,2.0,2.0,,,,0.0,10.0
101,15,03,6.0,2.0,6.0,2.0,2.0,,,,0.0,15.0
101,15,03,7.0,,15.0,2.0,2.0,,,,0.0,45.0
101,15,03,8.0,,50.0,1.0,1.0,2.0,3.0,6.0,1.0,40.0
101,15,03,9.0,,50.0,1.0,1.0,2.0,3.0,6.0,1.0,40.0
101,15,09,1.0,2.0,3.0,2.0,2.0,,,,0.0,10.0
101,15,09,2.0,2.0,3.0,2.0,2.0,,,,0.0,10.0
101,15,09,3.0,2.0,12.0,2.0,2.0,,,,0.0,20.0
101,15,09,4.0,2.0,2.0,2.0,2.0,,,,0.0,5.0
101,15,09,5.0,2.0,1.5,2.0,2.0,,,,0.0,5.0
101,15,09,6.0,2.0,12.0,2.0,2.0,,,,0.0,20.0
101,15,09,7.0,,12.0,2.0,2.0,,,,0.0,30.0
101,15,09,8.0,,45.0,2.0,2.0,,,,1.0,15.0
101,15,09,9.0,,45.0,2.0,2.0,,,,1.0,15.0
101,15,19,1.0,2.0,1.0,2.0,2.0,,,,0.0,5.0
101,15,19,2.0,2.0,-2.0,,,,,,,
101,15,19,3.0,2.0,-2.0,,,,,,,
101,15,19,4.0,2.0,1.0,2.0,2.0,,,,0.0,5.0
101,15,19,5.0,2.0,1.0,2.0,2.0,,,,0.0,5.0
101,15,19,6.0,2.0,1.5,2.0,2.0,,,,0.0,1.0
101,15,19,7.0,,7.0,2.0,2.0,,,,0.0,20.0
101,15,19,8.0,,38.0,2.0,2.0,,,,1.0,5.0
101,15,19,9.0,,38.0,2.0,2.0,,,,1.0,5.0
101,15,33,1.0,1.0,,,,,,,,
101,15,33,2.0,2.0,2.5,2.0,2.0,,,,0.0,15.0
101,15,33,3.0,2.0,7.0,2.0,2.0,,,,0.0,45.0
101,15,33,4.0,1.0,,,,,,,,
101,15,33,5.0,1.0,,,,,,,,
101,15,33,6.0,2.0,2.5,2.0,2.0,,,,0.0,15.0
101,15,33,7.0,,40.0,2.0,2.0,,,,1.0,15.0
