tinh,huyen,xa,m5tt,m5c31,m5c32,m5c33,m5c34,m5c35a,m5c35b,m5c36,m5c37a,m5c37b,m5c37c,m5c38,m5c39
101,15,03,1,2,2006,2007,2,3,4.0,3000000.0,1500000,0,0,2859,120
101,15,03,2,3,2007,2007,2,1,0.0,-1.0,-1,0,0,2859,120
101,15,03,3,5,2005,2010,2,2,0.0,700000.0,0,0,0,1000,0
101,15,03,4,6,2004,2004,3,3,0.0,1500000.0,300000,0,0,2859,0
101,15,03,5,9,2007,2007,1,3,0.0,1200000.0,0,0,0,2859,120
101,15,03,6,10,2006,2006,1,3,0.0,1200000.0,0,0,0,1900,60
101,15,03,7,11,2000,2000,1,3,0.0,-1.0,0,0,0,1900,60
101,15,03,8,1,2007,2008,2,1,0.0,-1.0,0,0,0,2859,120
101,15,09,1,5,2006,2006,1,2,0.0,-1.0,-1,0,0,100,0
101,15,09,2,10,2005,2006,1,2,0.0,-1.0,-1,0,0,80,20
101,15,09,3,2,2005,2006,1,7,5.0,-1.0,-1,0,0,2300,700
101,15,09,4,1,2003,2003,1,2,0.0,-1.0,-1,0,0,1800,800
101,15,09,5,9,2006,2007,2,2,0.0,-1.0,0,0,0,2483,800
101,15,09,6,15,2003,2004,1,4,0.0,1200000.0,1200000,0,0,2483,800
101,15,09,7,15,2003,2006,1,5,0.0,1300000.0,1300000,0,0,1200,0
101,15,19,1,2,2001,2001,2,3,0.0,2000000.0,0,0,0,3000,240
101,15,19,2,5,2005,2005,1,3,0.0,-1.0,0,0,0,2000,240
101,15,19,3,6,2006,2008,2,3,0.0,-1.0,0,0,0,3200,240
101,15,19,4,9,2006,2007,1,4,0.0,-1.0,0,0,0,3300,240
101,15,19,5,10,2006,2007,1,2,0.0,-1.0,0,0,0,1000,0
101,15,19,6,11,2005,2007,1,2,0.0,-1.0,0,0,0,3000,240
101,15,33,1,1,2005,2005,2,2,0.0,-1.0,0,0,0,1200,650
101,15,33,2,2,2004,2004,3,3,0.0,-1.0,0,0,0,2320,650
101,15,33,3,5,2004,2004,2,3,0.0,-1.0,0,0,0,2000,650
101,15,33,4,6,2007,2007,3,2,0.0,-1.0,0,0,0,2320,650
101,15,33,5,1,2004,2007,1,2,0.0,-1.0,0,0,0,2020,650
101,15,33,6,9,2005,2005,1,3,0.0,-1.0,0,0,0,2320,650
101,15,33,7,10,2006,2006,2,3,0.0,-1.0,0,0,0,1650,220
101,15,33,8,11,2008,2008,1,4,0.0,-1.0,0,0,0,30,8
101,15,33,9,12,2006,2006,1,4,0.0,-1.0,0,0,0,30,8
101,15,33,10,15,2007,2007,1,3,0.0,970000.0,0,0,0,2320,650
101,15,39,1,1,2006,2006,2,3,0.0,4000000.0,0,0,0,1890,435
101,15,39,2,2,2004,2010,2,2,0.0,1200000.0,0,0,0,1320,200
101,15,39,3,3,2008,2009,3,3,0.0,800000.0,0,0,0,1500,435
101,15,39,4,1,2005,2012,2,2,0.0,12000000.0,0,0,0,1250,134
101,15,39,5,5,2001,2010,1,3,0.0,250000.0,0,0,0,1300,435
101,15,39,6,6,2003,2005,1,3,0.0,15000000.0,0,0,0,2019,435
101,15,39,7,7,2007,2007,1,1,0.0,80000.0,0,0,0,100,24
101,15,39,8,8,2007,2007,1,1,0.0,80000.0,0,0,0,435,435
101,15,39,9,9,2006,2008,1,3,0.0,800000.0,0,0,0,2019,435
101,15,39,10,10,2005,2007,1,2,3.0,17000000.0,0,0,0,1040,284
101,15,51,1,1,2003,2003,2,3,0.0,-1.0,0,0,0,400,350
101,15,51,2,1,2005,2007,1,2,0.0,-1.0,0,0,0,730,0
101,15,51,3,11,2005,2006,1,3,0.0,-1.0,0,0,0,3500,150
101,15,51,4,10,2006,2008,1,2,0.0,-1.0,0,0,0,2000,120
101,15,51,5,15,2006,2007,1,4,0.0,750000.0,0,0,0,700,0
101,15,51,6,15,2007,2008,1,3,4.0,470000.0,100000,0,0,300,0
101,15,51,7,9,2007,2008,2,3,0.0,700000.0,0,0,0,3650,350
101,15,51,8,15,2007,2007,2,3,0.0,450000.0,0,0,0,3650,350
101,15,51,9,1,2007,2008,2,3,0.0,-1.0,0,0,0,500,0
101,15,51,10,5,2007,2007,1,3,0.0,980000.0,0,0,0,620,350
101,17,13,1,6,1999,2000,2,3,0.0,-1.0,-1,-1,-1,2491,520
101,17,13,2,11,2000,2000,1,3,0.0,1800000.0,1800000,0,0,1872,280
101,17,13,3,10,2005,2005,1,3,0.0,1570000.0,1570000,0,0,2491,520
101,17,13,4,9,2004,2004,2,1,0.0,450000.0,450000,0,0,2491,520
101,17,27,1,10,2004,2004,1,3,0.0,879000.0,150000,0,0,3097,1150
101,17,27,2,2,2005,2005,2,3,0.0,1850000.0,0,0,0,3097,1150
101,17,27,3,6,2006,2006,2,3,0.0,1450000.0,0,0,0,3097,1150
101,17,27,4,11,2003,2003,1,3,0.0,450000.0,0,0,0,1210,0
