tinh,huyen,xa,m6stt,m6c31,m6c32,m6c33,m6c34
101,15,03,1,1,2.0,1.0,5.0
101,15,03,2,1,8.0,1.0,4.0
101,15,03,3,1,8.0,1.0,1.0
101,15,03,4,2,,,
101,15,03,5,2,,,
101,15,03,6,2,,,
101,15,03,7,2,,,
101,15,09,1,1,2.0,1.0,4.0
101,15,09,2,1,2.0,3.0,1.0
101,15,09,3,1,2.0,3.0,1.0
101,15,09,4,2,,,
101,15,09,5,1,2.0,3.0,1.0
101,15,09,6,2,,,
101,15,09,7,2,,,
101,15,19,1,1,2.0,1.0,1.0
101,15,19,2,1,2.0,1.0,1.0
101,15,19,3,1,2.0,1.0,1.0
101,15,19,4,2,,,
101,15,19,5,2,,,
101,15,19,6,2,,,
101,15,19,7,2,,,
101,15,33,1,1,8.0,2.0,1.0
101,15,33,2,1,8.0,2.0,1.0
101,15,33,3,1,8.0,2.0,1.0
101,15,33,4,2,,,
101,15,33,5,2,,,
101,15,33,6,2,,,
101,15,33,7,2,,,
101,15,39,1,1,8.0,2.0,1.0
101,15,39,2,1,8.0,2.0,1.0
101,15,39,3,1,8.0,2.0,1.0
101,15,39,4,2,,,
101,15,39,5,1,8.0,2.0,1.0
101,15,39,6,2,,,
101,15,39,7,2,,,
101,15,51,1,1,8.0,2.0,1.0
101,15,51,2,1,8.0,2.0,1.0
101,15,51,3,1,8.0,2.0,1.0
101,15,51,4,2,,,
101,15,51,5,2,,,
101,15,51,6,2,,,
101,15,51,7,2,,,
101,17,13,1,1,2.0,2.0,1.0
101,17,13,2,1,2.0,2.0,1.0
101,17,13,3,1,2.0,2.0,1.0
101,17,13,4,2,,,
101,17,13,5,1,2.0,2.0,1.0
101,17,13,6,2,,,
101,17,13,7,2,,,
101,17,27,1,1,2.0,2.0,1.0
101,17,27,2,1,2.0,2.0,1.0
101,17,27,3,1,2.0,2.0,1.0
101,17,27,4,2,,,
101,17,27,5,2,,,
101,17,27,6,2,,,
101,17,27,7,2,,,
101,17,31,1,1,2.0,1.0,1.0
101,17,31,2,1,2.0,1.0,1.0
101,17,31,3,1,2.0,1.0,1.0
101,17,31,4,2,,,
101,17,31,5,2,,,
101,17,31,6,2,,,
101,17,31,7,2,,,
101,17,33,1,1,2.0,1.0,1.0
101,17,33,2,1,2.0,1.0,1.0
101,17,33,3,1,2.0,1.0,1.0
101,17,33,4,2,,,
101,17,33,5,2,,,
101,17,33,6,2,,,
101,17,33,7,2,,,
101,17,35,1,1,2.0,1.0,1.0
101,17,35,2,1,2.0,1.0,1.0
101,17,35,3,1,2.0,1.0,1.0
101,17,35,4,2,,,
101,17,35,5,2,,,
101,17,35,6,2,,,
101,17,35,7,2,,,
101,17,37,1,1,2.0,1.0,1.0
101,17,37,2,1,2.0,1.0,1.0
101,17,37,3,1,2.0,1.0,1.0
101,17,37,4,2,,,
101,17,37,5,2,,,
101,17,37,6,2,,,
101,17,37,7,2,,,
101,17,39,1,1,2.0,1.0,1.0
101,17,39,2,1,2.0,1.0,1.0
101,17,39,3,1,2.0,1.0,1.0
101,17,39,4,2,,,
101,17,39,5,2,,,
101,17,39,6,2,,,
101,17,39,7,2,,,
101,19,17,1,1,8.0,1.0,1.0
101,19,17,2,1,8.0,1.0,1.0
101,19,17,3,1,8.0,1.0,1.0
101,19,17,4,2,,,
101,19,17,5,1,8.0,1.0,1.0
101,19,17,6,2,,,
101,19,17,7,2,,,
101,19,55,1,1,8.0,1.0,1.0
101,19,55,2,1,8.0,1.0,1.0
101,19,55,3,1,8.0,1.0,1.0
101,19,55,4,2,,,
101,19,55,5,2,,,
101,19,55,6,2,,,
101,19,55,7,2,,,
101,21,13,1,1,2.0,2.0,1.0
101,21,13,2,1,2.0,2.0,1.0
101,21,13,3,1,2.0,2.0,1.0
101,21,13,4,2,,,
101,21,13,5,2,,,
101,21,13,6,2,,,
101,21,13,7,2,,,
101,21,23,1,1,1.0,2.0,1.0
101,21,23,2,1,1.0,2.0,1.0
101,21,23,3,1,1.0,2.0,1.0
101,21,23,4,2,,,
101,21,23,5,1,1.0,2.0,1.0
101,21,23,6,2,,,
101,21,23,7,2,,,
101,23,23,1,1,1.0,1.0,1.0
101,23,23,2,1,1.0,1.0,1.0
101,23,23,3,1,1.0,1.0,1.0
101,23,23,4,2,,,
101,23,23,5,2,,,
101,23,23,6,2,,,
101,23,23,7,2,,,
101,23,47,1,1,1.0,1.0,1.0
101,23,47,2,1,1.0,1.0,1.0
101,23,47,3,1,1.0,1.0,1.0
101,23,47,4,2,,,
101,23,47,5,2,,,
101,23,47,6,2,,,
101,23,47,7,2,,,
103,11,05,1,1,1.0,2.0,1.0
103,11,05,2,1,1.0,2.0,1.0
103,11,05,3,1,1.0,2.0,1.0
103,11,05,4,2,,,
103,11,05,5,2,,,
103,11,05,6,2,,,
103,11,05,7,2,,,
103,11,07,1,1,1.0,1.0,1.0
103,11,07,2,1,1.0,1.0,1.0
103,11,07,3,1,1.0,1.0,1.0
103,11,07,4,2,,,
103,11,07,5,2,,,
103,11,07,6,2,,,
103,11,07,7,2,,,
103,11,14,1,1,2.0,2.0,1.0
103,11,14,2,1,2.0,2.0,1.0
103,11,14,3,1,2.0,2.0,1.0
103,11,14,4,2,,,
103,11,14,5,1,2.0,2.0,1.0
103,11,14,6,2,,,
103,11,14,7,2,,,
103,11,21,1,1,1.0,2.0,4.0
103,11,21,2,1,1.0,2.0,4.0
103,11,21,3,1,1.0,2.0,4.0
103,11,21,4,2,,,
103,11,21,5,2,,,
103,11,21,6,2,,,
103,11,21,7,2,,,
103,11,27,1,1,1.0,1.0,1.0
103,11,27,2,1,1.0,1.0,1.0
103,11,27,3,1,1.0,1.0,1.0
103,11,27,4,2,,,
103,11,27,5,2,,,
103,11,27,6,2,,,
103,11,27,7,2,,,
103,11,35,1,1,1.0,2.0,1.0
103,11,35,2,1,1.0,2.0,1.0
103,11,35,3,1,1.0,2.0,1.0
103,11,35,4,2,,,
103,11,35,5,2,,,
103,11,35,6,2,,,
103,11,35,7,2,,,
103,11,43,1,1,1.0,1.0,1.0
103,11,43,2,1,1.0,1.0,1.0
103,11,43,3,1,1.0,1.0,1.0
103,11,43,4,2,,,
103,11,43,5,2,,,
103,11,43,6,2,,,
103,11,43,7,2,,,
103,13,07,1,1,2.0,1.0,1.0
103,13,07,2,1,2.0,1.0,1.0
103,13,07,3,1,2.0,1.0,1.0
103,13,07,4,2,,,
103,13,07,5,2,,,
103,13,07,6,2,,,
103,13,07,7,2,,,
103,13,13,1,1,1.0,2.0,1.0
103,13,13,2,1,1.0,2.0,1.0
103,13,13,3,1,1.0,2.0,1.0
103,13,13,4,2,,,
103,13,13,5,1,1.0,2.0,1.0
103,13,13,6,2,,,
103,13,13,7,2,,,
103,15,03,1,1,1.0,2.0,1.0
103,15,03,2,1,1.0,2.0,1.0
103,15,03,3,1,1.0,2.0,1.0
103,15,03,4,2,,,
103,15,03,5,2,,,
103,15,03,6,2,,,
103,15,03,7,2,,,
103,15,11,1,1,7.0,2.0,1.0
103,15,11,2,1,7.0,2.0,1.0
103,15,11,3,1,7.0,2.0,1.0
103,15,11,4,2,,,
103,15,11,5,2,,,
103,15,11,6,2,,,
103,15,11,7,2,,,
103,17,17,1,1,1.0,1.0,1.0
103,17,17,2,1,2.0,1.0,1.0
103,17,17,3,1,2.0,1.0,1.0
103,17,17,4,2,,,
103,17,17,5,1,1.0,1.0,1.0
103,17,17,6,2,,,
103,17,17,7,2,,,
103,17,23,1,1,1.0,2.0,1.0
103,17,23,2,1,1.0,2.0,1.0
103,17,23,3,1,1.0,2.0,1.0
103,17,23,4,2,,,
103,17,23,5,2,,,
103,17,23,6,2,,,
103,17,23,7,2,,,
103,17,31,1,1,2.0,1.0,1.0
103,17,31,2,1,2.0,1.0,1.0
103,17,31,3,1,2.0,1.0,1.0
103,17,31,4,2,,,
103,17,31,5,2,,,
103,17,31,6,2,,,
103,17,31,7,2,,,
103,19,09,1,1,2.0,1.0,2.0
103,19,09,2,1,2.0,1.0,2.0
103,19,09,3,1,2.0,1.0,2.0
103,19,09,4,2,,,
103,19,09,5,2,,,
103,19,09,6,2,,,
103,19,09,7,2,,,
103,19,17,1,1,2.0,1.0,1.0
103,19,17,2,1,2.0,1.0,1.0
103,19,17,3,1,2.0,1.0,1.0
103,19,17,4,2,,,
103,19,17,5,2,,,
103,19,17,6,2,,,
103,19,17,7,2,,,
103,19,25,1,1,2.0,1.0,1.0
103,19,25,2,1,2.0,1.0,1.0
103,19,25,3,1,2.0,1.0,1.0
103,19,25,4,2,,,
103,19,25,5,2,,,
103,19,25,6,2,,,
103,19,25,7,2,,,
103,21,17,1,1,2.0,1.0,2.0
103,21,17,2,2,,,
103,21,17,3,2,,,
103,21,17,4,2,,,
103,21,17,5,2,,,
103,21,17,6,2,,,
103,21,17,7,2,,,
103,21,25,1,1,2.0,1.0,1.0
103,21,25,2,1,2.0,1.0,1.0
103,21,25,3,1,2.0,1.0,1.0
103,21,25,4,2,,,
103,21,25,5,2,,,
103,21,25,6,2,,,
103,21,25,7,2,,,
103,21,35,1,1,2.0,1.0,1.0
103,21,35,2,1,2.0,1.0,1.0
103,21,35,3,1,2.0,1.0,1.0
103,21,35,4,2,,,
103,21,35,5,2,,,
103,21,35,6,2,,,
103,21,35,7,2,,,
103,21,43,1,1,7.0,2.0,2.0
103,21,43,2,1,7.0,2.0,2.0
103,21,43,3,1,7.0,2.0,2.0
103,21,43,4,2,,,
103,21,43,5,1,7.0,2.0,2.0
103,21,43,6,2,,,
103,21,43,7,2,,,
103,21,51,1,1,2.0,1.0,1.0
103,21,51,2,1,2.0,1.0,1.0
103,21,51,3,1,2.0,1.0,2.0
103,21,51,4,2,,,
103,21,51,5,1,2.0,1.0,1.0
103,21,51,6,2,,,
103,21,51,7,2,,,
104,01,17,1,1,2.0,2.0,1.0
104,01,17,2,1,2.0,2.0,1.0
104,01,17,3,1,2.0,2.0,1.0
104,01,17,4,2,,,
104,01,17,5,2,,,
104,01,17,6,2,,,
104,01,17,7,2,,,
104,02,13,1,1,3.0,2.0,3.0
104,02,13,2,1,3.0,2.0,3.0
104,02,13,3,1,3.0,2.0,3.0
104,02,13,4,2,,,
104,02,13,5,2,,,
104,02,13,6,2,,,
104,02,13,7,2,,,
104,03,11,1,1,3.0,2.0,1.0
104,03,11,2,1,3.0,2.0,3.0
104,03,11,3,1,3.0,2.0,3.0
104,03,11,4,2,,,
104,03,11,5,2,,,
104,03,11,6,2,,,
104,03,11,7,2,,,
104,03,29,1,1,3.0,2.0,1.0
104,03,29,2,1,3.0,2.0,1.0
104,03,29,3,1,3.0,2.0,1.0
104,03,29,4,2,,,
104,03,29,5,2,,,
104,03,29,6,2,,,
104,03,29,7,2,,,
104,03,33,1,1,3.0,2.0,3.0
104,03,33,2,1,3.0,2.0,3.0
