tinh,huyen,xa,m9c3,m9c4,m9c5a,m9c5b,m9c5c,m9c6,m9c7
101,15,03,1,1.0,2.0,1.0,5.0,6.0,1.0
101,15,03,2,3.0,2.0,5.0,0.0,4.0,1.0
101,15,03,3,1.0,2.0,5.0,0.0,15.0,1.0
101,15,09,1,1.0,2.0,1.0,0.0,9.0,1.0
101,15,09,2,3.0,2.0,0.0,,6.0,1.0
101,15,09,3,1.0,2.0,0.0,,12.0,1.0
101,15,19,1,1.0,2.0,1.0,5.0,5.0,1.0
101,15,19,2,1.0,2.0,1.0,0.0,5.0,1.0
101,15,19,3,1.0,1.0,2.0,0.0,3.0,1.0
101,15,33,1,1.0,1.0,2.0,5.0,3.0,1.0
101,15,33,2,1.0,1.0,2.0,5.0,10.0,1.0
101,15,33,3,1.0,1.0,2.0,5.0,10.0,1.0
101,15,39,1,1.0,1.0,2.0,0.0,1.0,1.0
101,15,39,2,1.0,2.0,1.0,0.0,7.0,1.0
101,15,39,3,1.0,2.0,1.0,0.0,8.0,1.0
101,15,51,1,1.0,2.0,1.0,0.0,0.2,1.0
101,15,51,2,1.0,2.0,1.0,0.0,1.0,1.0
101,15,51,3,1.0,2.0,1.0,0.0,0.5,1.0
101,17,13,1,1.0,2.0,0.0,,7.0,1.0
101,17,13,2,1.0,2.0,0.0,,7.0,1.0
101,17,13,3,3.0,2.0,0.0,,1.0,1.0
101,17,27,1,1.0,2.0,0.0,,1.0,1.0
101,17,27,2,1.0,2.0,0.0,,1.0,1.0
101,17,27,3,1.0,2.0,0.0,,9.0,1.0
101,17,31,1,1.0,2.0,1.0,5.0,2.5,1.0
101,17,31,2,1.0,2.0,1.0,5.0,5.0,1.0
101,17,31,3,1.0,2.0,1.0,5.0,5.0,1.0
101,17,33,1,1.0,2.0,0.0,,7.0,1.0
101,17,33,2,1.0,2.0,0.0,,7.0,1.0
101,17,33,3,1.0,2.0,0.0,,7.0,1.0
101,17,35,1,1.0,2.0,1.0,4.0,10.0,1.0
101,17,35,2,1.0,2.0,1.0,4.0,10.0,1.0
101,17,35,3,1.0,2.0,1.0,4.0,10.0,1.0
101,17,37,1,1.0,2.0,0.0,,4.0,1.0
101,17,37,2,1.0,2.0,0.0,,4.0,1.0
101,17,37,3,1.0,2.0,0.0,,4.0,1.0
101,17,39,1,1.0,2.0,0.0,,1.5,1.0
101,17,39,2,1.0,2.0,0.0,,1.5,1.0
101,17,39,3,1.0,2.0,0.0,,10.0,1.0
101,19,17,1,1.0,2.0,1.0,0.0,0.3,1.0
101,19,17,2,1.0,2.0,1.0,0.0,2.0,1.0
101,19,17,3,1.0,2.0,1.0,0.0,2.0,1.0
101,19,55,1,1.0,2.0,1.0,0.0,5.0,1.0
101,19,55,2,1.0,2.0,1.0,0.0,5.0,1.0
101,19,55,3,6.0,2.0,1.0,0.0,5.0,1.0
101,21,13,0,,,,,,
101,21,13,1,1.0,2.0,0.0,,7.0,1.0
101,21,13,2,1.0,2.0,0.0,,4.0,1.0
101,21,23,1,1.0,2.0,1.0,0.0,-1.0,1.0
