tinh,huyen,xa,m9c8,m9c9a,m9c9b,m9c9c,m9c10,m9c11
101,15,03,1,1,2.0,0.0,2.0,6.0
101,15,03,3,1,2.0,0.0,1.0,4.0
101,15,03,4,1,2.0,0.0,1.0,15.0
101,15,03,6,5,2.0,0.0,2.0,1.0
101,15,03,8,5,0.0,,,
101,15,09,1,1,2.0,0.0,2.0,9.0
101,15,09,3,1,2.0,0.0,2.0,6.0
101,15,09,4,2,0.0,,1.0,12.0
101,15,09,8,1,2.0,8.0,2.0,
101,15,19,1,1,2.0,0.0,2.0,5.0
101,15,19,3,1,2.0,0.0,2.0,5.0
101,15,19,4,1,2.0,0.0,2.0,5.0
101,15,19,6,2,5.0,0.0,2.0,1.0
101,15,19,8,1,2.0,0.0,2.0,
101,15,33,1,1,2.0,0.0,1.0,3.0
101,15,33,4,2,1.0,0.0,1.0,10.0
101,15,33,6,8,7.0,0.0,,0.0
101,15,33,8,5,3.0,0.0,,
101,15,39,1,9,2.0,6.0,1.0,1.0
101,15,39,4,9,0.0,,,7.0
101,15,39,6,8,0.0,,,0.0
101,15,39,7,2,0.0,,2.0,0.0
101,15,39,8,3,4.0,1.0,1.0,
101,15,51,1,2,0.0,,1.0,0.2
101,15,51,4,2,0.0,,1.0,1.0
101,15,51,6,2,0.0,,2.0,0.1
101,15,51,7,2,0.0,,1.0,0.1
101,15,51,8,2,0.0,,2.0,
101,17,13,1,1,2.0,3.0,2.0,7.0
101,17,13,3,1,2.0,3.0,2.0,1.0
101,17,13,4,1,2.0,3.0,2.0,1.0
101,17,13,6,1,2.0,3.0,2.0,-1.0
101,17,13,8,1,2.0,3.0,2.0,
101,17,27,1,1,2.0,3.0,2.0,1.0
101,17,27,6,1,2.0,3.0,2.0,1.0
101,17,27,8,1,2.0,3.0,2.0,
101,17,31,1,2,9.0,0.0,2.0,5.0
101,17,31,2,2,9.0,0.0,2.0,5.0
101,17,31,6,2,9.0,0.0,2.0,0.5
101,17,31,7,2,9.0,0.0,2.0,0.5
101,17,31,8,2,9.0,0.0,2.0,
101,17,33,1,1,2.0,0.0,2.0,7.0
101,17,33,3,1,2.0,0.0,2.0,0.3
101,17,33,4,1,2.0,0.0,2.0,0.3
