tinh,huyen,xa,madt,ngaydt,thangdt,ngayct,thangct,m1c1,m1c2,m1c3,m1c4,m1c5,m1c6,m1c7,m1c8,m1c9,m1c10,m1c11a,m1c11b,m1c11c,m1c12a,m1c12b,m1c12c,m1c13,m1c14,m1c15,m2c1a,m2c1b,m2c1c,m2c2,m2c3a,m2c3b,m2c3c,m2c4,m2c5a,m2c5b,m2c5c,m2c6,m2c7a,m2c7b,m2c7c,m2c7d,m2c7e,m2c7f,m2c7g,m2c8,m3c1,m3c2,m3c2a1,m3c2a2,m3c2a3,m3c3,m3c4a,m3c4b,m3c4c,m3c4a1,m3c4a2,m3c4a3,m3c5,m4c1,m4c25a_1,m4c25a_2,m4c25a_3,m4c25a_4,m4c25b_1,m4c25b_2,m4c25b_3,m4c25b_4,m4c25c_1,m4c25c_2,m4c25c_3,m4c25c_4,m4c26,m4c27,m4c28a,m4c28b,m4c28c,m4c29,m4c30,m4c31,m4c32a,m4c32b,m4c32c,m4c33,m4c34,m4c35,m4c36a,m4c36b,m4c36c,m4c37a,m4c37b,m4c37c,m5c1,m5c2,m5c3,m5c4,m5c5,m5c6,m5c7,m5c8,m5c9,m5c10,m5c11,m5c12,m5c13a,m5c13b,m5c14,m5c15a,m5c15b,m5c15c,m5c16,m5c17,m5c18,m5c19,m5c20,m5c21,m5c22,m5c23a,m5c23b,m6c1,m6c2,m6c3,m6c4,m6c5,m6c6,m6c7,m6c16,m6c17,m6c18,m6c19,m6c20,m6c21,m6c22,m6c23,m6c24a,m6c24b,m6c24c,m6c25,m6c26,m6c27,m6c28,m6c29a,m6c29b,m6c29c,m6c30,m7c1a,m7c1b,m7c1c,m7c2,m7c3a,m7c3b,m7c3c,m7c4a,m7c4b,m7c4c,m7c5,m8c1a,m8c1b,m8c1c,m8c2,m8c3,m8c4,m8c5,m8c6,m8c7,m8c8,m9c1a,m9c1b,m9c1c,m9c1d,m9c1e,m9c2,m7c10,m7c11,m7c12,m7c13,m7c14,m7c15,m7c16,m8c9,m8c10a1,m8c10a2,m8c10a3,m8c10b1,m8c10b2,m8c10b3,m8c10c1,m8c10c2,m8c10c3,m8c11a,m8c11b,m8c11c,m8c12,m8c13,m8c14,m8c15a,m8c15b,m8c15c,m8c15d,m8c15e
101,15,03,2,26,6,26,6,8.83,12,2859,30,4,15221,229,150,21,19,1,0,,1,8,0.0,2,2,2,1,4,9.0,1,1.0,2.0,3.0,1,2.0,1.0,3.0,254,270,254,350,0,500,30,0,2,1,8.0,4.0,1.0,0.0,2.0,,,,,,,1.0,1,90,70,50,70,70,70,50,70,-3,-3,-3,-3,2,16.0,,,,,,,,,,10,1,1,3,4.0,2.0,1,3.0,4.0,1,12.0,1.0,1,,12,1,2,,,2,3.0,40,3.0,1,2.0,0.0,,1,1.0,1,2,2,1,1,5,5,1,1,2,2,2,2,2,1,1997.0,2.0,,,1,2.0,,,,,,1,2.0,,,,,,5,8.0,7.0,1,5.0,6.0,7.0,4.0,5.0,1.0,2,1,0.0,,20,0,7,0,2,0,84,1,4.0,5.0,6.0,8.0,1,1,1.0,2.0,3.0,1.0,1.0,2.0,0,,,,,,,,,,,,,1,4.0,4,0.0,0.0,0.0,2.0,0.0
101,15,09,2,19,6,19,6,20.35,8,2483,22,0,10830,38,80,18,28,1,7,0.0,8,0,,3,2,2,1,7,8.0,1,1.0,2.0,3.0,1,2.0,1.0,3.0,197,44,120,1120,0,150,0,0,2,1,20.0,1.0,2.0,0.0,2.0,,,,,,,1.0,1,90,-1,-1,60,-1,60,40,60,-3,-3,-3,-3,2,12.0,,,,,,,,,,5,1,1,2,5.0,4.0,6,8.0,7.0,1,12.0,1.0,1,,12,1,2,,,2,8.0,20,3.0,1,2.0,0.0,,1,1.0,1,2,1,1,2,4,4,1,1,1,2,2,2,2,1,1997.0,2.0,,,2,,,,,,,1,1.0,120.0,-1.0,35.0,0.0,1.0,5,8.0,14.0,1,6.0,7.0,5.0,1.0,2.0,5.0,2,3,5.0,1.0,15,0,0,0,0,0,60,8,4.0,1.0,5.0,0.0,1,1,1.0,2.0,1.0,1.0,1.0,2.0,0,,,,,,,,,,,,,1,2.0,5,0.0,4.0,0.0,1.0,0.0
101,15,19,2,16,6,16,6,13.75,15,3855,39,26,17436,205,85,7,12,1,0,,1,2,8.0,2,2,2,1,4,6.0,1,1.0,2.0,3.0,1,1.0,2.0,3.0,179,110,240,341,43,190,-1,-1,1,1,18.0,1.0,2.0,0.0,2.0,,,,,,,1.0,2,50,50,50,50,50,50,50,50,-3,-3,-3,-3,2,5.0,,,,,,,,,,2,1,1,2,4.0,3.0,6,10.0,4.0,1,12.0,1.0,1,,12,1,2,,,2,0.5,40,3.0,1,1.0,2.0,0.0,1,1.0,1,1,1,1,1,4,4,1,1,2,2,2,2,2,1,2001.0,2.0,,,2,,,,,,,1,2.0,,,,,,5,9.0,14.0,1,6.0,7.0,5.0,1.0,5.0,7.0,2,1,3.0,8.0,14,0,6,1,0,0,90,4,5.0,6.0,8.0,1.0,1,1,1.0,2.0,1.0,1.0,2.0,2.0,0,,,,,,,,,,,,,1,15.0,15,0.0,0.0,0.0,15.0,0.0
101,15,33,1,22,10,30,9,8.998,5,2320,0,0,10600,0,0,13,21,1,0,,8,0,,2,2,2,1,6,5.0,1,1.0,3.0,2.0,1,2.0,3.0,5.0,232,134,363,1216,60,0,0,0,1,1,2.0,6.0,0.0,,2.0,,,,,,,1.0,2,50,50,50,50,40,40,40,40,-3,-3,-3,-3,2,10.0,,,,,,,,,,6,1,1,2,3.0,4.0,1,5.0,10.0,1,12.0,1.0,1,,12,1,1,1.0,,2,2.5,48,3.0,2,,,,1,1.0,1,2,1,1,1,4,4,1,1,2,2,2,2,2,1,1999.0,2.0,,,1,2.0,,,,,,1,2.0,,,,,,7,9.0,13.0,1,4.0,6.0,7.0,4.0,5.0,0.0,2,0,,,0,0,0,0,0,0,135,1,3.0,4.0,5.0,8.0,1,1,1.0,2.0,2.0,1.0,1.0,2.0,4,,,,,,,,,,3.0,0.0,0.0,2,,0,,,,,
101,15,39,1,22,10,22,10,8.567,6,2128,17,3,9130,42,25,1,21,1,0,,8,1,0.0,2,2,2,1,6,7.0,1,1.0,2.0,3.0,1,2.0,1.0,5.0,206,234,73,1118,0,0,0,0,3,1,3.0,1.0,5.0,6.0,1.0,6.0,0.0,,1.0,5.0,6.0,1.0,1,90,-3,-3,-3,-3,50,50,60,-3,-3,-3,-3,2,6.0,,,,,,,,,,5,1,1,4,3.0,0.0,8,5.0,4.0,1,12.0,1.0,1,,12,4,2,,,2,3.5,42,3.0,1,2.0,0.0,,1,1.0,1,2,1,1,1,4,4,1,1,1,2,2,2,2,1,1999.0,2.0,,,1,1.0,8.0,0.0,10.0,40.0,1.0,1,1.0,79.0,0.0,10.0,40.0,2.0,5,7.0,8.0,1,4.0,5.0,7.0,2.0,4.0,5.0,2,3,0.0,,5,0,2,0,0,0,191,4,8.0,5.0,3.0,2.0,1,1,1.0,2.0,2.0,1.0,1.0,2.0,0,,,,,,,,,,,,,1,6.0,6,0.0,0.0,6.0,0.0,0.0
101,15,51,2,18,6,18,6,13.73,7,3650,403,12,14364,497,36,36,24,1,0,,1,8,0.0,2,2,2,1,8,7.0,1,2.0,1.0,3.0,1,1.0,2.0,3.0,120,50,160,70,120,120,3,-1,1,1,4.0,1.0,0.0,,2.0,,,,,,,1.0,2,60,60,60,60,60,60,60,60,-3,-3,-3,-3,2,1.0,,,,,,,,,,20,1,1,2,3.0,4.0,1,4.0,8.0,1,12.0,1.0,1,,12,1,2,,,2,1.5,40,3.0,1,2.0,0.0,,1,1.0,1,2,2,1,2,4,4,1,1,2,2,2,2,1,1,1997.0,2.0,,,2,,,,,,,1,2.0,,,,,,5,9.0,0.0,1,7.0,5.0,4.0,1.0,2.0,5.0,2,1,3.0,8.0,36,0,14,0,0,0,20,4,6.0,8.0,12.0,0.0,1,1,1.0,2.0,1.0,1.0,1.0,1.0,1,4.0,3.0,1.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,2.0,1,7.0,7,0.0,0.0,0.0,7.0,0.0
101,17,13,24,20,6,30,6,8.595,5,2491,28,2,10945,623,149,166,197,1,0,,8,0,,2,2,2,1,9,3.0,1,1.0,2.0,7.0,2,,,,54,4,17,16,0,0,0,0,2,1,5.0,1.0,4.0,5.0,2.0,,,,,,,1.0,2,50,50,-3,50,50,50,-3,50,-3,-3,-3,-3,2,8.0,,,,,,,,,,7,1,1,2,3.0,4.0,4,3.0,5.0,1,12.0,2.0,1,,12,2,2,,,2,1.0,4,2.0,1,2.0,0.0,,1,1.0,1,1,1,2,1,4,4,1,1,1,2,2,2,2,1,1994.0,2.0,,,2,,,,,,,1,1.0,40.0,100.0,100.0,40.0,1.0,5,6.0,7.0,1,4.0,6.0,7.0,1.0,2.0,5.0,2,1,3.0,5.0,14,0,2,0,0,0,52,8,1.0,6.0,4.0,2.0,1,1,1.0,2.0,2.0,1.0,1.0,1.0,4,,,,,,,,,,3.0,1.0,4.0,1,5.0,5,0.0,0.0,0.0,5.0,0.0
101,17,27,24,5,7,30,6,7.37,5,3097,106,10,11787,361,115,33,3352,1,0,,8,1,0.0,2,2,2,1,2,3.0,1,2.0,4.0,3.0,1,4.0,2.0,3.0,35,10,115,14,0,0,150,0,3,1,4.0,2.0,3.0,0.0,2.0,,,,,,,1.0,2,70,60,50,70,70,60,50,70,-3,-3,-3,-3,2,9.0,,,,,,,,,,21,1,1,2,4.0,3.0,1,3.0,5.0,1,12.0,1.0,1,,12,1,2,,,1,,4,2.0,1,1.0,2.0,0.0,1,1.0,1,2,1,2,1,2,2,1,1,2,2,2,2,2,1,1994.0,2.0,,,2,,,,,,,1,1.0,150.0,100.0,100.0,40.0,2.0,5,7.0,11.0,1,2.0,4.0,5.0,1.0,2.0,5.0,2,1,3.0,5.0,18,0,4,0,0,0,16,2,5.0,6.0,8.0,4.0,1,1,1.0,2.0,1.0,1.0,2.0,3.0,2,,,,5.0,0.0,0.0,5.0,0.0,0.0,3.0,4.0,1.0,1,5.0,2,1.0,0.0,2.0,2.0,0.0
101,17,31,24,10,7,28,6,5.21,5,2267,5,12,9279,85,47,87,67,1,0,,8,1,3.0,2,2,2,4,1,9.0,1,2.0,3.0,4.0,1,3.0,5.0,2.0,51,40,18,5,0,0,0,2,4,1,989.0,1.0,5.0,6.0,1.0,6.0,0.0,,1.0,5.0,6.0,1.0,2,60,60,40,60,50,60,40,60,-3,-3,-3,-3,2,6.0,,,,,,,,,,6,1,1,4,3.0,6.0,7,2.0,10.0,1,12.0,2.0,1,,12,2,2,,,2,5.0,20,2.0,2,,,,1,1.0,1,1,1,1,1,4,4,1,1,2,2,2,2,2,1,1994.0,1.0,15.0,9.0,1,1.0,32.0,117.0,50.0,42.0,1.0,1,1.0,140.0,117.0,50.0,45.0,1.0,5,8.0,13.0,1,6.0,7.0,5.0,4.0,2.0,7.0,2,4,3.0,7.0,0,0,0,0,0,0,30,5,4.0,8.0,6.0,13.0,1,1,1.0,2.0,1.0,1.0,1.0,3.0,4,,,,,,,,,,2.0,3.0,0.0,1,3.0,5,3.0,0.0,2.0,0.0,0.0
101,17,33,24,12,7,10,7,8.48,11,3514,34,6,15108,230,113,51,185,1,0,,8,1,0.0,2,2,2,1,4,5.0,1,2.0,3.0,4.0,2,,,,127,15,26,11,0,0,0,0,3,1,350.0,1.0,2.0,3.0,2.0,,,,,,,1.0,2,60,60,60,60,60,60,60,60,-3,-3,-3,-3,2,7.0,,,,,,,,,,48,1,1,2,4.0,6.0,4,7.0,10.0,1,12.0,1.0,1,,12,2,2,,,2,3.0,30,2.0,1,2.0,0.0,,1,1.0,1,2,1,1,1,4,4,1,1,2,2,2,2,2,1,1994.0,1.0,21.0,15.0,2,,,,,,,1,1.0,58.0,100.0,100.0,20.0,1.0,9,5.0,7.0,1,3.0,4.0,7.0,1.0,5.0,2.0,2,3,6.0,7.0,5,0,2,0,0,0,22,1,2.0,5.0,8.0,4.0,1,1,1.0,2.0,1.0,1.0,2.0,3.0,4,,,,,,,,,,1.0,2.0,4.0,1,11.0,11,1.0,0.0,0.0,0.0,0.0
