tinh,huyen,xa,diaban,hoso,m3c6,m3c16,m3c17,m3c18,m3c19,m3ct1,m3ct2,m3ct,m4atn1,m4atn2,m4atn3,m4atn4,m4atn5,m4atn,m4b0c1,m4b0t1,m4b0t2,m4b1a,m4b1b,m4b11t,m4b12t,m4b13t,m4b14t,m4b15t,m4b16c3a,m4b16c3b,m4b16c3c,m4b1t,m4b1c,m4b1tn,m4b21a,m4b21b,m4b21t
101,1,3.0,1,13,2,200,50,0,0,0,0,250.0,17632,918,0,0,0,18550.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,3.0,1,14,2,300,50,60,0,0,0,410.0,53645,2823,0,0,0,56468.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,3.0,1,15,1,200,100,0,1894,0,4000,4300.0,39528,2823,0,0,0,42351.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,9.0,19,15,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,9.0,19,19,2,150,0,0,0,0,0,150.0,22040,0,0,0,0,22040.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,9.0,19,20,2,150,0,450,0,0,0,600.0,46285,918,0,0,0,47203.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,15.0,50,13,2,600,0,0,0,0,0,600.0,135523,27859,0,0,0,163382.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,15.0,50,14,2,600,0,0,0,0,0,600.0,112936,39527,0,0,0,152463.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,15.0,50,15,2,700,0,100,0,0,0,800.0,95996,18447,0,0,0,114443.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,17.0,2,13,2,100,0,0,0,0,0,100.0,8374,1047,0,0,0,9421.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,17.0,2,14,1,1000,0,0,0,150,1800,2950.0,33061,5051,0,0,0,38112.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,17.0,2,19,1,200,0,0,0,400,0,600.0,28234,1411,0,0,0,29645.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,21.0,36,13,1,320,110,0,439,100,0,530.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,21.0,36,15,2,300,100,75,0,0,0,475.0,25821,1745,0,0,0,27566.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,21.0,36,19,1,350,100,85,0,900,0,1435.0,22040,4592,0,0,0,26632.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,23.0,18,13,2,300,0,0,0,0,0,300.0,135523,12234,0,0,0,147757.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,23.0,18,24,2,500,0,0,0,0,0,500.0,107289,9412,0,0,0,116701.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,1,23.0,18,29,2,400,0,0,0,0,0,400.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,3,3.0,23,13,2,100,0,80,0,0,0,180.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,3,3.0,23,15,1,200,0,110,0,0,0,310.0,27915,5670,0,0,0,33585.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,3,3.0,23,19,1,500,0,0,0,1500,0,2000.0,92570,27551,0,0,0,120121.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,3,11.0,9,15,2,250,0,120,0,0,0,370.0,75667,15924,0,0,0,91591.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,3,11.0,9,19,2,200,0,100,0,0,0,300.0,69089,7520,0,0,0,76609.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,3,11.0,9,20,2,50,0,120,0,0,0,170.0,12723,170,0,0,0,12893.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,3,13.0,8,13,1,200,0,0,0,1400,0,1600.0,56386,15429,0,0,0,71815.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,3,13.0,8,14,1,500,0,0,0,4500,8000,13000.0,36639,12213,0,0,0,48852.0,1,0.0,0.0,1,,5600.0,0,0,0,0,2.0,3.0,5.0,5600.0,642.0,4958.0,2,2.0,0.0
101,3,13.0,8,15,1,250,0,120,0,1000,0,1370.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,3.0,17,13,1,2000,110,320,1386,700,0,3130.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,3.0,17,14,1,6010,300,0,1848,4400,0,10710.0,49591,4592,0,0,0,54183.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,3.0,17,20,1,12000,200,310,18482,2360,13000,27870.0,36734,4592,0,0,0,41326.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,11.0,7,13,2,100,0,45,0,0,0,145.0,17268,2879,0,0,0,20147.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,11.0,7,14,1,350,0,0,0,500,0,850.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,11.0,7,15,1,450,0,85,0,0,0,535.0,52897,9184,0,0,0,62081.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
101,5,17.0,18,13,2,300,20,0,0,0,0,320.0,0,0,0,0,0,0.0,2,0.0,0.0,2,2.0,0.0,0,0,0,0,,,,0.0,0.0,0.0,2,2.0,0.0
