tinh,huyen,xa,diaban,hoso,m4b22t,m4b22c19,m4b21c,m4b21tn,m4b22c,m4b22tn,m4b31a,m4b31b,m4b3t,m4b3c,m4b3tn,m4b41a,m4b41b,m4b4t,m4b4c,m4b41tn,m4b51a,m4b51b,m4b5t,m4b5c,m4b5tn,m4c1,m4ctt,m4ct,m4cct,m4cc,m4ctnt,m4ctn,m4d1tn,m4d2t
101,1,3.0,1,13,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,30679.0,0.0
101,1,3.0,1,14,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,1,8604.0,8604.0,2688.0,2688.0,5916.0,5916.0,142997.0,0.0
101,1,3.0,1,15,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,1,44136.0,44136.0,11028.0,11028.0,33108.0,33108.0,36554.0,0.0
101,1,9.0,19,15,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,1,275880.0,275880.0,187152.0,187152.0,88728.0,88728.0,0.0,0.0
101,1,9.0,19,19,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,60989.0,0.0
101,1,9.0,19,20,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,1,15.0,50,13,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,9470.0,0.0
101,1,15.0,50,14,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,947.0,0.0
101,1,15.0,50,15,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,947.0,0.0
101,1,17.0,2,13,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,1,10740.0,10740.0,1668.0,1668.0,9072.0,9072.0,0.0,10000.0
101,1,17.0,2,14,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,10497.0,0.0
101,1,17.0,2,19,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,1,87178.0,87178.0,26364.0,26364.0,60814.0,60814.0,0.0,0.0
101,1,21.0,36,13,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,34234.0,0.0
101,1,21.0,36,15,0.0,,0.0,0.0,0.0,0.0,2,2.0,0.0,0.0,0.0,2,2.0,0.0,0.0,,2,2.0,0.0,0.0,,2,0.0,0.0,0.0,0.0,0.0,0.0,7023.0,0.0
