tinh,huyen,xa,diaban,hoso,thunhap,thubq,chitieu,chids,chibq,chidsbq
101,1,3.0,1,13,49229.0,1367.0,48421.2,45851.2,1345.0,1273.6000000000001
101,1,3.0,1,14,205381.0,5705.0,107048.0,98898.0,2973.6000000000004,2747.2000000000003
101,1,3.0,1,15,113907.0,4746.0,99617.6,91767.6,4150.7,3823.7000000000003
101,1,9.0,19,15,88728.0,3697.0,33879.6,33119.6,1411.7,1380.0
101,1,9.0,19,19,83029.0,2306.0,38628.8,37858.8,1073.0,1051.6000000000001
101,1,9.0,19,20,47203.0,1311.0,46615.6,45975.6,1294.9,1277.1000000000001
101,1,15.0,50,13,172946.0,3603.0,113276.8,111476.8,2359.9,2322.4
101,1,15.0,50,14,153410.0,4261.0,102092.8,99892.8,2835.9,2774.8
101,1,15.0,50,15,117284.0,2443.0,106982.1,105782.1,2228.8,2203.8
101,1,17.0,2,13,18493.0,771.0,10458.2,10372.2,435.8,432.20000000000005
101,1,17.0,2,14,48609.0,1350.0,22614.0,22401.0,628.2,622.3000000000001
101,1,17.0,2,19,90459.0,3769.0,20894.2,20778.2,870.6,865.8000000000001
101,1,21.0,36,13,34673.0,963.0,38343.0,36540.0,1065.1000000000001,1015.0
101,1,21.0,36,15,34589.0,961.0,37107.7,35492.7,1030.8,985.9000000000001
101,1,21.0,36,19,122704.41,2045.0,105894.2,91114.2,1764.9,1518.6000000000001
101,1,23.0,18,13,147757.0,6157.0,48629.2,47549.2,2026.2,1981.2
101,1,23.0,18,24,133746.0,2786.0,63012.2,61752.2,1312.8000000000002,1286.5
101,1,23.0,18,29,88296.0,2453.0,58078.5,56848.5,1613.3000000000002,1579.1000000000001
101,3,3.0,23,13,43017.0,896.0,50475.3,48375.3,1051.6000000000001,1007.8000000000001
101,3,3.0,23,15,40476.0,843.0,43810.2,40210.2,912.7,837.7
101,3,3.0,23,19,139712.0,2329.0,103079.6,94269.6,1718.0,1571.2
101,3,11.0,9,15,300325.0,5005.0,51980.0,46130.0,866.3000000000001,768.8000000000001
101,3,11.0,9,19,89688.0,1068.0,55817.3,52967.3,664.5,630.6
101,3,11.0,9,20,34220.0,713.0,28192.7,26677.7,587.3000000000001,555.8000000000001
101,3,13.0,8,13,80501.0,1677.0,42408.1,40398.1,883.5,841.6
101,3,13.0,8,14,82778.0,985.0,84702.2,81412.2,1008.4000000000001,969.2
101,3,13.0,8,15,48489.0,577.0,57848.7,54358.7,688.7,647.1
101,5,3.0,17,13,48445.0,2019.0,50014.4,46286.4,2083.9,1928.6000000000001
101,5,3.0,17,14,75621.0,2101.0,61871.0,61101.0,1718.6000000000001,1697.3000000000002
101,5,3.0,17,20,128560.0,2143.0,112295.6,107464.6,1871.6000000000001,1791.1000000000001
101,5,11.0,7,13,21261.0,591.0,27523.2,26043.2,764.5,723.4000000000001
101,5,11.0,7,14,86189.0,1436.0,69510.6,63660.6,1158.5,1061.0
101,5,11.0,7,15,83334.0,1389.0,67867.2,63667.2,1131.1000000000001,1061.1000000000001
101,5,17.0,18,13,25573.0,2131.0,18180.0,16530.0,1515.0,1377.5
101,5,17.0,18,14,50835.0,847.0,47978.3,45488.3,799.6,758.1
101,5,17.0,18,19,88704.0,1478.0,86617.6,77717.6,1443.6000000000001,1295.3000000000002
101,5,25.0,12,13,65742.0,1370.0,63080.9,61440.9,1314.2,1280.0
101,5,25.0,12,14,71990.0,1500.0,65664.4,63804.4,1368.0,1329.3000000000002
101,5,25.0,12,15,68622.0,1906.0,55075.0,52607.0,1529.9,1461.3000000000002
101,5,33.0,12,14,45312.0,944.0,49363.4,46453.4,1028.4,967.8000000000001
101,5,33.0,12,15,59555.0,1241.0,59879.1,56369.1,1247.5,1174.4
101,5,33.0,12,24,61639.0,856.0,65982.2,57532.2,916.4000000000001,799.1
101,5,35.0,16,14,148188.0,3087.0,88977.4,83407.4,1853.7,1737.7
101,5,35.0,16,15,98850.0,2059.0,74580.4,69870.4,1553.8000000000002,1455.6000000000001
