tinh,huyen,xa,diaban,hoso,m5a1ct,m5a1c4,m5a1c5,m5a2ct,m5a2c11,m5a2c12,m5b1ct,m5b1c6,m5b1c7,m5b2ct,m5b2c4,m5b2c5,m5b3ct,m5b4c
101,1,3.0,1,13,1584.3999,1288.2999,296.1,24438.8,24438.8,0.0,7560.0,7560.0,0.0,7350.0,7350.0,0.0,2570.0,0.0
101,1,3.0,1,14,4619.3,3473.3,1146.0,36904.7,36904.7,0.0,21586.0,21586.0,0.0,18950.0,18950.0,0.0,8150.0,50000.0
101,1,3.0,1,15,3530.7,2957.7,573.0,38741.9,38741.9,0.0,21488.0,21488.0,0.0,16235.0,16235.0,0.0,7850.0,0.0
101,1,9.0,19,15,1555.2,1555.2,0.0,17770.4,17770.4,0.0,7012.0,7012.0,0.0,5090.0,5090.0,0.0,760.0,0.0
101,1,9.0,19,19,1852.7999,1852.7999,0.0,20078.0,20078.0,0.0,8190.0,8190.0,0.0,5620.0,5620.0,0.0,770.0,0.0
101,1,9.0,19,20,1993.9,1993.9,0.0,22501.7,22501.7,0.0,9280.0,9280.0,0.0,7490.0,7490.0,0.0,640.0,0.0
101,1,15.0,50,13,5259.8,5259.8,0.0,51339.0,51339.0,0.0,17447.0,17447.0,0.0,16531.0,16531.0,0.0,1800.0,0.0
101,1,15.0,50,14,4331.4004,3567.4001,764.0,52250.4,52250.4,0.0,17980.0,17660.0,320.0,22031.0,22031.0,0.0,2200.0,0.0
101,1,15.0,50,15,4885.4,4885.4,0.0,41726.7,41726.7,0.0,23575.0,23575.0,0.0,17765.0,17765.0,0.0,1200.0,0.0
101,1,17.0,2,13,536.8,536.8,0.0,5690.4,5690.4,0.0,855.0,855.0,0.0,218.0,218.0,0.0,86.0,0.0
101,1,17.0,2,14,907.9,907.9,0.0,10542.1,10542.1,0.0,2394.0,2394.0,0.0,525.0,525.0,0.0,213.0,0.0
101,1,17.0,2,19,1144.3,1144.3,0.0,10915.9,10915.9,0.0,5149.0,5149.0,0.0,417.0,417.0,0.0,116.0,0.0
101,1,21.0,36,13,1926.5,1716.4,210.1,18811.5,18811.5,0.0,4429.0,4429.0,0.0,5695.0,5695.0,0.0,1803.0,0.0
101,1,21.0,36,15,1815.3,1624.3,191.0,17779.4,17779.4,0.0,8217.0,8217.0,0.0,2260.0,2260.0,0.0,1615.0,0.0
101,1,21.0,36,19,3401.7,3115.2,286.5,36395.5,36395.5,0.0,23573.0,23573.0,0.0,14005.0,14005.0,0.0,14780.0,20000.0
101,1,23.0,18,13,3074.8,2310.8,764.0,29025.4,29025.4,0.0,5778.0,5778.0,0.0,6865.0,6865.0,0.0,1080.0,0.0
101,1,23.0,18,24,3795.7,2840.7,955.0,36725.5,36725.5,0.0,7136.0,7136.0,0.0,10080.0,10080.0,0.0,1260.0,0.0
101,1,23.0,18,29,3561.5,2797.5,764.0,37084.0,37084.0,0.0,7018.0,7018.0,0.0,5570.0,5570.0,0.0,1230.0,0.0
101,3,3.0,23,13,2171.7998,2052.4,119.4,22053.5,22053.5,0.0,7295.0,7295.0,0.0,4965.0,4965.0,0.0,2100.0,0.0
101,3,3.0,23,15,1963.8,1790.9,172.9,19626.4,19626.4,0.0,7582.0,7582.0,0.0,3488.0,3488.0,0.0,3600.0,0.0
101,3,3.0,23,19,4796.0,4032.0,764.0,45988.598,45004.9,983.7,13960.0,13960.0,0.0,23185.0,23185.0,0.0,8810.0,45000.0
101,3,11.0,9,15,2364.5,2364.5,0.0,21110.5,21110.5,0.0,6470.0,6470.0,0.0,9395.0,9395.0,0.0,5850.0,217000.0
101,3,11.0,9,19,2725.1,2725.1,0.0,21805.2,21805.2,0.0,7425.0,7425.0,0.0,11910.0,11910.0,0.0,2850.0,44000.0
101,3,11.0,9,20,1584.2001,1584.2001,0.0,15195.5,15195.5,0.0,3024.0,3024.0,0.0,3310.0,3310.0,0.0,1515.0,96000.0
101,3,13.0,8,13,1884.2,1884.2,0.0,11076.899,11076.899,0.0,4748.0,4748.0,0.0,5745.0,5745.0,0.0,2010.0,48057.0
101,3,13.0,8,14,3825.6,3825.6,0.0,25241.6,20657.6,4584.0,11034.0,11034.0,0.0,16320.0,16320.0,0.0,3290.0,4663.0
101,3,13.0,8,15,3083.8,3083.8,0.0,18453.9,18453.9,0.0,11044.0,11044.0,0.0,10660.0,10660.0,0.0,3490.0,12731.0
101,5,3.0,17,13,3069.5999,2587.2,482.4,17489.799,17088.7,401.1,8290.0,8290.0,0.0,8197.0,8097.0,100.0,3728.0,0.0
101,5,3.0,17,14,3364.8,3364.8,0.0,20777.2,20777.2,0.0,12920.0,12920.0,0.0,10787.0,10597.0,190.0,770.0,0.0
101,5,3.0,17,20,5988.3,4660.8,1327.5,32411.3,31181.3,1230.0,6953.0,6953.0,0.0,17388.0,16838.0,550.0,4831.0,20000.0
101,5,11.0,7,13,578.5,578.5,0.0,11860.7,11860.7,0.0,5059.0,5059.0,0.0,3410.0,3410.0,0.0,1480.0,0.0
