tinh,huyen,xa,diaban,hoso,matv,m3c7,m3c8a,m3c8b,m3c9,m3c10a,m3c10b,m3c11a,m3c11b,m3c12a,m3c12b,m3c13a,m3c13b,m3c14,m3c15
101,1,3.0,1,13,,,,,,,,,,,,,,,
101,1,3.0,1,14,,,,,,,,,,,,,,,
101,1,3.0,1,15,1.0,Hîp,1.0,5.0,4.0,0.0,,,,1.0,4000.0,1.0,0.0,1.0,
101,1,9.0,19,15,,,,,,,,,,,,,,,
101,1,9.0,19,19,,,,,,,,,,,,,,,
101,1,9.0,19,20,,,,,,,,,,,,,,,
101,1,15.0,50,13,,,,,,,,,,,,,,,
101,1,15.0,50,14,,,,,,,,,,,,,,,
101,1,15.0,50,15,,,,,,,,,,,,,,,
101,1,17.0,2,13,,,,,,,,,,,,,,,
101,1,17.0,2,14,1.0,thu,1.0,4.0,4.0,3.0,100.0,1.0,0.0,2.0,1800.0,2.0,0.0,1.0,
101,1,17.0,2,14,2.0,v©n,1.0,4.0,4.0,1.0,50.0,1.0,0.0,0.0,,,,1.0,
101,1,17.0,2,19,1.0,Ch©u,1.0,11.0,4.0,6.0,400.0,,,0.0,,,,1.0,
101,1,21.0,36,13,1.0,HiÒn,1.0,5.0,3.0,1.0,100.0,1.0,100.0,0.0,,,,1.0,
101,1,21.0,36,15,,,,,,,,,,,,,,,
101,1,21.0,36,19,5.0,H©n,1.0,10.0,4.0,4.0,900.0,0.0,,0.0,,,,1.0,
101,1,23.0,18,13,,,,,,,,,,,,,,,
101,1,23.0,18,24,,,,,,,,,,,,,,,
101,1,23.0,18,29,,,,,,,,,,,,,,,
101,3,3.0,23,13,,,,,,,,,,,,,,,
101,3,3.0,23,15,1.0,th­êng,1.0,7.0,3.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,
101,3,3.0,23,15,4.0,hiÕu,1.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,
101,3,3.0,23,15,3.0,huy,1.0,6.0,4.0,1.0,0.0,1.0,0.0,0.0,,,,1.0,
101,3,3.0,23,19,4.0,miªn,1.0,6.0,4.0,3.0,1500.0,0.0,,0.0,,,,1.0,
101,3,11.0,9,15,,,,,,,,,,,,,,,
101,3,11.0,9,19,,,,,,,,,,,,,,,
101,3,11.0,9,20,,,,,,,,,,,,,,,
101,3,13.0,8,13,1.0,mai,1.0,6.0,3.0,7.0,1400.0,7.0,700.0,0.0,,,,1.0,
101,3,13.0,8,14,4.0,yÕn,1.0,6.0,4.0,5.0,500.0,,,1.0,2000.0,,,1.0,
101,3,13.0,8,14,1.0,hoµn,1.0,6.0,4.0,2.0,4000.0,,,1.0,6000.0,,,1.0,
