tinh,huyen,xa,diaban,hoso,matv,m4ac1a,m4ac1b,m4ac1c,m4ac2,m4ac3,m4ac4,m4ac5,m4ac6,m4ac7,m4ac8,m4ac9,m4ac10a,m4ac10b,m4ac11,m4ac12a,m4ac12b,m4ac12c,m4ac12d,m4ac12e,m4ac12f,m4ac13,m4ac14,m4ac15,m4ac16,m4ac17,m4ac18,m4ac19,m4ac20,m4ac21,m4ac22a,m4ac22b,m4ac22c,m4ac22d,m4ac22e,m4ac22f,m4ac23,m4ac24,m4ac25,m4ac26,m4ac27
101,1,3,1,13,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,1,3,1,13,2,1,2,2,1,,93,17,12,26,8,1,6,,17632,918,0,0,0,0,918,2,,,,,,,,,,,,,,0,,,,1,1
101,1,3,1,13,3,2,2,2,2,5,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3
101,1,3,1,14,1,1,2,2,1,,24,46,12,26,8,5,6,,39528,2823,0,0,0,0,2823,2,,,,,,,,,,,,,,0,,,,1,1
101,1,3,1,14,2,1,2,1,1,,91,14,6,28,8,0,6,,14117,0,0,0,0,0,0,1,74,14,12,20,2,10,2,,,,,,,0,2,,,1,3
101,1,3,1,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,1,3,1,15,1,2,2,1,1,,22,86,12,20,5,15,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
101,1,3,1,15,2,1,2,2,1,,22,86,12,26,8,5,6,,39528,2823,0,0,0,0,2823,2,,,,,,,,,,,,,,0,,,,1,2
101,1,9,19,15,1,2,2,1,1,,91,56,12,25,5,15,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,1,9,19,15,2,2,2,1,1,,91,56,12,25,5,15,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
101,1,9,19,19,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,1,9,19,19,2,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,9,19,19,3,1,2,2,1,,32,47,12,23,8,1,3,,22040,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,1
101,1,9,19,20,1,1,2,2,1,,41,46,12,22,8,10,6,,33061,918,0,0,0,0,918,2,,,,,,,,,,,,,,0,,,,2,
101,1,9,19,20,2,1,2,2,1,,93,96,10,23,8,2,3,,13224,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,2
101,1,9,19,20,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,1,15,50,13,1,1,2,2,1,,24,46,12,26,10,1,6,,79055,9412,0,0,0,3388,12800,2,,,,,,,,,,,,,,0,,,,1,1
101,1,15,50,13,2,1,2,2,1,,21,61,12,22,8,14,4,1,56468,9412,0,0,0,5647,15059,2,,,,,,,,,,,,,,0,,,,1,3
101,1,15,50,13,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,15,50,13,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,15,50,14,1,1,2,2,1,,24,52,12,22,8,2,6,,56468,7529,0,0,0,11293,18822,2,,,,,,,,,,,,,,0,,,,2,
101,1,15,50,14,2,1,2,2,1,,24,52,12,22,8,5,4,2,56468,8470,0,0,0,12235,20705,2,,,,,,,,,,,,,,0,,,,2,
101,1,15,50,15,1,1,2,2,1,,21,74,12,22,8,26,4,1,39528,4706,0,0,0,3388,8094,2,,,,,,,,,,,,,,0,,,,1,1
101,1,15,50,15,2,1,2,2,1,,24,64,12,22,8,18,4,1,56468,4706,0,0,0,5647,10353,2,,,,,,,,,,,,,,0,,,,1,3
101,1,15,50,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,15,50,15,4,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,2,
101,1,17,2,13,1,2,2,1,1,,91,56,12,30,14,20,1,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,4
101,1,17,2,13,2,1,2,2,1,,91,93,12,30,10,1,3,,8374,1047,0,0,0,0,1047,2,,,,,,,,,,,,,,0,,,,1,1
101,1,17,2,14,1,1,2,2,1,,33,85,9,20,8,33,4,1,33061,2755,1837,0,0,459,5051,2,,,,,,,,,,,,,,0,,,,1,3
101,1,17,2,14,2,2,2,2,2,2,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,8
101,1,17,2,14,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,4
101,1,17,2,19,1,2,2,1,1,,91,56,12,28,5,10,1,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,6
101,1,17,2,19,2,1,2,2,1,,74,56,12,30,10,8,3,,28234,941,0,0,0,470,1411,2,,,,,,,,,,,,,,0,,,,1,1
101,1,21,36,13,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,3
101,1,21,36,13,2,2,2,2,2,7,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,1,21,36,15,1,1,2,2,1,,91,47,10,29,9,1,3,,12213,0,0,0,0,0,0,2,,,,,,,,,,,,,,0,,,,1,2
101,1,21,36,15,2,1,2,2,1,,24,86,12,30,10,20,3,,13608,1745,0,0,0,0,1745,2,,,,,,,,,,,,,,0,,,,2,
101,1,21,36,15,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,1,21,36,19,1,2,2,1,1,,91,63,9,30,10,5,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,1,21,36,19,2,2,2,1,1,,23,85,12,22,5,20,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,2,
101,1,21,36,19,3,2,2,1,1,,91,47,4,28,10,7,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,2,
101,1,21,36,19,4,1,2,2,1,,34,60,12,26,8,2,4,2,22040,1837,0,0,0,2755,4592,2,,,,,,,,,,,,,,0,,,,1,1
101,1,21,36,19,5,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
101,1,23,18,13,1,1,2,2,1,,24,46,12,22,8,30,4,1,79055,6587,0,0,0,0,6587,2,,,,,,,,,,,,,,0,,,,1,2
101,1,23,18,13,2,1,2,2,1,,24,46,12,22,8,30,4,1,56468,5647,0,0,0,0,5647,2,,,,,,,,,,,,,,0,,,,1,1
101,1,23,18,24,1,2,2,2,2,3,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,2
101,1,23,18,24,2,1,2,2,1,,24,65,12,22,8,2,7,,50821,4706,0,0,0,0,4706,2,,,,,,,,,,,,,,0,,,,1,1
101,1,23,18,24,3,1,2,2,1,,34,46,12,23,8,13,6,,56468,4706,0,0,0,0,4706,2,,,,,,,,,,,,,,0,,,,2,
101,1,23,18,29,1,2,2,1,1,,91,47,12,30,9,4,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,1
101,1,23,18,29,2,2,2,1,1,,91,47,12,25,6,4,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,3,3,23,13,1,2,2,1,1,,91,56,12,28,9,2,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,3
101,3,3,23,13,2,2,2,1,1,,91,56,12,28,9,2,2,,,,,,,,0,2,,,,,,,,,,,,,,0,,,,1,2
101,3,3,23,13,3,2,2,2,2,1,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,1,1
