tinh,huyen,xa,diaban,hoso,matv,m4ac4m,m4ac5c,m4ac5m,m4ac14m,m4ac15c,m4ac15m
101,1,3.0,1,13,2.0,c«ng nh©n,sx giÊy,sx giÊy,,,
101,1,3.0,1,14,1.0,Nh©n viªn,c«ng ty CP Gia B¶o,KD m¸y tÝnh,,,
101,1,3.0,1,14,2.0,Nh©n viªn,nhµ may,May ®o,sc quÇn ¸o,tù lµm,may
101,1,3.0,1,15,1.0,B¸c sÜ thó y,Tù lµm,Kh¸m ch÷a bÖnh,,,
101,1,3.0,1,15,2.0,B¸c sÜ s¶n,Phßng kh¸m ¸nh s¸ng,Kh¸m ch÷a bÖnh,,,
101,1,9.0,19,15,2.0,b¸n hµng ¨n,tù lµm,hµng ¨n,,,
101,1,9.0,19,15,1.0,b¸n hµng ¨n,tù lµm,hµng ¨n,,,
101,1,9.0,19,19,3.0,B¸n hµng,cöa hµng thuèc t­ nh©n,b¸n thuèc,,,
101,1,9.0,19,20,2.0,tr«ng trÎ,t¹i nhµ,tr«ng trÎ,,,
101,1,9.0,19,20,1.0,nh©n viªn,Cty TNHH Anh Ph­¬ng,kinh doanh,,,
101,1,15.0,50,13,2.0,Nh©n viªn,Cty viÔn th«ng,ViÔn th«ng,,,
101,1,15.0,50,13,1.0,Nh©n viªn,Cty ThuËn Ph¸t,KD ®iÖn tö,,,
101,1,15.0,50,14,1.0,KÕ to¸n,Cty CP hµng h¶i §«ng §«,VËn T¶i,,,
101,1,15.0,50,14,2.0,Chuyªn viªn khai th¸c,Cty vËn t¶i biÓn,VËn t¶i,,,
101,1,15.0,50,15,1.0,C¸n bé n/c,ViÖn KHXH,N/c khoa häc,,,
101,1,15.0,50,15,2.0,KÕ to¸n,Kho b¹c HBT,Kho b¹c,,,
101,1,17.0,2,13,2.0,tr«ng cöa hµng internet,cöa hµng net Tua Hµ,dÞch vô Internet,,,
101,1,17.0,2,13,1.0,b¸n hµng n­íc,®Òn Thñ LÖ,b¸n hµng n­íc,,,
101,1,17.0,2,14,1.0,d¹y häc,Tr­êng tiÓu häc HHth¸m,gi¸o dôc,,,
101,1,17.0,2,19,1.0,b¸n bón s¸ng,t¹i nhµ,b¸n quµ s¸ng,,,
101,1,17.0,2,19,2.0,thî nÊu ¨n,nhµ hµng ¨n uèng,nhµ hµng,,,
101,1,21.0,36,13,,,,,,,
101,1,21.0,36,15,2.0,b¸n thuèc,35 l·n «ng,b¸n thuèc,,,
101,1,21.0,36,15,1.0,B¸n hoa qu¶,t¹i nhµ,b¸n hoa qu¶,,,
101,1,21.0,36,19,2.0,d¹y thanh nh¹c,taÞ nhµ,d¹y nh¹c,,,
101,1,21.0,36,19,1.0,KD in te net,T¹i nhµ,KD,,,
101,1,21.0,36,19,3.0,KD,Cöa hµng ga vµ bÕp ga,KD ga,,,
101,1,21.0,36,19,4.0,céng t¸c viªn,§µi truyÒn h×nh VN,TruyÒn h×nh,,,
101,1,23.0,18,13,2.0,nh©n viªn,cty tho¸t n­íc HN,n­íc s¹ch,,,
101,1,23.0,18,13,1.0,nh©n viªn,tængcty dÇu khÝ,khai th¸c dµu khi,,,
101,1,23.0,18,24,3.0,nh©n viªn,cty quang vinh,KD th­¬ng m¹i,,,
101,1,23.0,18,24,2.0,nh©n viªn,cty b¶o hiÓm toµn cÇu,b¶o hiÓm,,,
101,1,23.0,18,29,2.0,b¸n hµng,tù lµm,KD ®iÖn tö,,,
101,1,23.0,18,29,1.0,b¸n hµng,tù lµm,KD ®iÖn tö,,,
101,3,3.0,23,13,2.0,b¸n bón phë,tù lµm,b¸n bón phë,,,
101,3,3.0,23,13,1.0,b¸n bón phë,tù lµm,b¸n bón phë,,,
101,3,3.0,23,15,2.0,t¹p vô quÐt dän,tù lµm,t¹p vô quÐt dän,,,
101,3,3.0,23,15,1.0,c«ng nh©n in,nxb chÝnh trÞ quèc gia,xuÊt b¶n s¸ch,,,
101,3,3.0,23,19,5.0,kü s­ thiÕt kÕ,lµm cho c¸ nh©n kh¸c,t­ vÊn thiÕt kÕ,,,
101,3,3.0,23,19,2.0,kü s­ x©y dùng,cty x©y dùng 68,x©y dùng,,,
101,3,11.0,9,15,5.0,Pha chÕ r­îu,Nhµ hµng Vice',¨n uèng,,,
101,3,11.0,9,15,1.0,l¸i xe,ViÖn ®Þa chÊt kho¸ng s¶n,nc,,,
101,3,11.0,9,15,3.0,l¸i xe,,VËn t¶i,,,
101,3,11.0,9,15,2.0,B¸n thi,b¸n thÞt,thÞt,,,
101,3,11.0,9,15,4.0,Biªn dÞch tiÕng ý,Trung t©m hç trî Italia,T­ vÊn,,,
101,3,11.0,9,19,4.0,t¹ vô,ks t©y hå,¨n uèng,,,
101,3,11.0,9,19,3.0,cn ®iÖn n­íc,Cty ®iÖn n­íc hn,KD ®iÖn n­íc,,,
101,3,11.0,9,19,6.0,l¾p r¸p xe m¸y,c«ng ty tnhh faco,xe m¸y,,,
101,3,11.0,9,20,1.0,xÝch l«,vËn t¶i,vËn t¶i,,,
101,3,11.0,9,20,2.0,lµm gióp vc,c¸ thÓ,cv gia ®×nh,,,
101,3,13.0,8,13,3.0,c«ng nh©n bao b×,cty CP mÆt trêi vµng,sx bao b×,,,
101,3,13.0,8,13,4.0,c«ng nh©n bao b×,cty CP mÆt trêi vµng,sx bao b×,,,
101,3,13.0,8,13,2.0,c«ng nh©n bao b×,CT CP mÆt trêi vµng,sx bao b×,,,
101,3,13.0,8,14,5.0,h­íng dÉn du lÞch,cty TNHH du lÞch miÒn tay,DV du lÞch,,,
101,3,13.0,8,14,2.0,lµm ruéng,tù lµm,nong nghiÖp,,,
101,3,13.0,8,15,2.0,b¸n b¸nh m×,tù lµm,,,,
101,5,3.0,17,13,2.0,giÆt lµ,t¹i nhµ,giÆt lµ,xe «m,tù lµm,xe «m
101,5,3.0,17,14,2.0,d¹y nh¹c,tt ch×a kho¸ vµng,d¹y v¨n ho¸,,,
101,5,3.0,17,20,1.0,b¸n thuèc,cöa hµng thuèc t­,b¸n thuèc,,,
101,5,11.0,7,13,1.0,c«ng nh©n sx bia,cty ®Çu t­ pt bia viÖthµ,sx bia,,,
101,5,11.0,7,13,2.0,nh©n viªn kd,ct ®Çu t­ pt bia v.hµ,sx bia,,,
101,5,11.0,7,14,3.0,kd internet,t¹i nhµ,kd internet,,,
101,5,11.0,7,15,2.0,c.v ngµnh thi hµnh ¸n,thi hµnh ¸n d©n sù tphn,qu¶n lý nhµ n­íc,,,
101,5,11.0,7,15,1.0,c/v qlý t/chøc thi hµnh¸n,bé t­ ph¸p,qly nhµ n­íc,,,
101,5,17.0,18,13,1.0,Xe «m,VËn chuyÓn kh¸ch,xe «m,,,
101,5,17.0,18,14,1.0,Xe «m,Xe «m,v/c kh¸ch,,,
101,5,17.0,18,14,2.0,S/c quÇn ¸o,t­ nh©n,s/c quÇn ¸o,,,
101,5,17.0,18,19,2.0,Söa ch÷a c¬ khÝ,c¬ khÝ,c¬ khÝ,,,
101,5,25.0,12,13,1.0,xe «m,c¸ thÓ,vËn chuyÓn hµnh kh¸ch,,,
101,5,25.0,12,13,2.0,b¸n rau,c¸ thÓ,b¸n rau,,,
101,5,25.0,12,13,3.0,y t¸,viÖn y häc cæ truyÒn,kh¸m ch÷a bÖnh,,,
101,5,25.0,12,14,2.0,b¸n v¶i,chî,b¸n v¶i,,,
101,5,25.0,12,14,1.0,b¸n v¶i,chî,b¸n v¶i,,,
101,5,25.0,12,15,3.0,lÔ t©n,kh¸ch s¹n kim liªn,kd kh¸ch s¹n,,,
101,5,25.0,12,15,1.0,b¶o vÖ,cöa hµng mai vy,kd giµy dÐp,,,
101,5,25.0,12,15,2.0,b¸n ®Ëu,c¸ thÓ,b¸n ®Ëu phô,,,
101,5,33.0,12,14,1.0,thî s¬n,cty tnhh ®«ng ¸,cung cÊp b¶o vÖ,,,
101,5,33.0,12,15,2.0,c«ng an,c«ng an ph­êng hµng buåm,qu¶n lý nhµ n­íc,,,
101,5,33.0,12,15,1.0,b¸n t¹p ho¸,t¹i nhµ,b¸n t¹p ho¸,,,
101,5,33.0,12,24,4.0,gi¸o viªn,tr­êng mÇm non hoa mai,gi¸o dôc,,,
101,5,33.0,12,24,3.0,lµm cöa hoa,lµm cho hé kh¸c,lµm cöa hoa,,,
101,5,35.0,16,14,1.0,phã phßng tæ chøc,së quy ho¹ch kiÕn tróc HN,Qu¶n lý quy ho¹ch ®« thÞ,,,
101,5,35.0,16,14,2.0,may mÆc,tù lµm,may ®o trang phôc,,,
101,5,35.0,16,15,3.0,bé phËn bÕp,tæng liªn ®oµn L§ VN,B¶o vÖ quyÒn lîi ng L§,,,
101,5,35.0,16,19,1.0,l¸i xe,lµm cho hé kh¸c,KD vËt liÖu XD,,,
101,5,35.0,16,19,2.0,b¸n n­íc chÌ,tù lµm,b¸n n­íc chÌ,,,
101,6,1.0,10,13,2.0,c«ng nh©n may,Cty may 10,may quÇn ¸o,,,
101,6,1.0,10,14,2.0,®iÒu hµnh taxi,,,,,
101,6,1.0,10,14,1.0,lµm ruéng,tù lµm,lµm ruéng,bu«n rau,tù lµm,b¸n rau
101,6,1.0,10,19,2.0,lµm ruéng,tù lµm,trång lóa,chë hµng thuª,tù lµm,chë hµng thuª
101,6,1.0,10,19,3.0,SX giÊy,cty giÊy yªn viªn,SX giÊy,,,
101,6,7.0,17,13,4.0,NÊu ¨n,Cth TNHH V¹n Lîi,SX T¨m,,,
101,6,7.0,17,13,3.0,lµm t¨m,Cty TNHH V¹n Lîi,SX t¨m,,,
101,6,7.0,17,14,2.0,B¸n hµng,C¸ thÓ,Hµng tæng hîp,,,
