tinh,huyen,xa,diaban,hoso,m4b11ma,m4b11c3,m4b11c4,m4b11c5,m4b11c6,m4b11c7,m4b11c8,m4b11c9,m4b11c10,m4b11c11,m4b11c12,m4b11c13,m4b11c14,m4b11c15,Vnotsell,Qnotsell,Sprice,NSprice
101,1,3.0,1,13,,,,,,,0.0,,,,,,,0.0,,,,
101,1,3.0,1,14,,,,,,,0.0,,,,,,,0.0,,,,
101,1,3.0,1,15,,,,,,,0.0,,,,,,,0.0,,,,
101,1,9.0,19,15,,,,,,,0.0,,,,,,,0.0,,,,
101,1,9.0,19,19,,,,,,,0.0,,,,,,,0.0,,,,
101,1,9.0,19,20,,,,,,,0.0,,,,,,,0.0,,,,
101,1,15.0,50,13,,,,,,,0.0,,,,,,,0.0,,,,
101,1,15.0,50,14,,,,,,,0.0,,,,,,,0.0,,,,
101,1,15.0,50,15,,,,,,,0.0,,,,,,,0.0,,,,
101,1,17.0,2,13,,,,,,,0.0,,,,,,,0.0,,,,
101,1,17.0,2,14,,,,,,,0.0,,,,,,,0.0,,,,
101,1,17.0,2,19,,,,,,,0.0,,,,,,,0.0,,,,
101,1,21.0,36,13,,,,,,,0.0,,,,,,,0.0,,,,
101,1,21.0,36,15,,,,,,,0.0,,,,,,,0.0,,,,
101,1,21.0,36,19,,,,,,,0.0,,,,,,,0.0,,,,
101,1,23.0,18,13,,,,,,,0.0,,,,,,,0.0,,,,
101,1,23.0,18,24,,,,,,,0.0,,,,,,,0.0,,,,
101,1,23.0,18,29,,,,,,,0.0,,,,,,,0.0,,,,
101,3,3.0,23,13,,,,,,,0.0,,,,,,,0.0,,,,
101,3,3.0,23,15,,,,,,,0.0,,,,,,,0.0,,,,
101,3,3.0,23,19,,,,,,,0.0,,,,,,,0.0,,,,
101,3,11.0,9,15,,,,,,,0.0,,,,,,,0.0,,,,
101,3,11.0,9,19,,,,,,,0.0,,,,,,,0.0,,,,
101,3,11.0,9,20,,,,,,,0.0,,,,,,,0.0,,,,
101,3,13.0,8,13,,,,,,,0.0,,,,,,,0.0,,,,
101,3,13.0,8,14,5.0,720.0,720.0,5.0,1.0,80.0,720.0,4.0,0.0,400.0,0.0,0.0,200.0,5600.0,,,,
101,3,13.0,8,15,,,,,,,0.0,,,,,,,0.0,,,,
101,5,3.0,17,13,,,,,,,0.0,,,,,,,0.0,,,,
101,5,3.0,17,14,,,,,,,0.0,,,,,,,0.0,,,,
101,5,3.0,17,20,,,,,,,0.0,,,,,,,0.0,,,,
101,5,11.0,7,13,,,,,,,0.0,,,,,,,0.0,,,,
101,5,11.0,7,14,,,,,,,0.0,,,,,,,0.0,,,,
101,5,11.0,7,15,,,,,,,0.0,,,,,,,0.0,,,,
101,5,17.0,18,13,,,,,,,0.0,,,,,,,0.0,,,,
101,5,17.0,18,14,,,,,,,0.0,,,,,,,0.0,,,,
101,5,17.0,18,19,,,,,,,0.0,,,,,,,0.0,,,,
101,5,25.0,12,13,,,,,,,0.0,,,,,,,0.0,,,,
101,5,25.0,12,14,,,,,,,0.0,,,,,,,0.0,,,,
101,5,25.0,12,15,,,,,,,0.0,,,,,,,0.0,,,,
101,5,33.0,12,14,,,,,,,0.0,,,,,,,0.0,,,,
101,5,33.0,12,15,,,,,,,0.0,,,,,,,0.0,,,,
101,5,33.0,12,24,,,,,,,0.0,,,,,,,0.0,,,,
101,5,35.0,16,14,,,,,,,0.0,,,,,,,0.0,,,,
101,5,35.0,16,15,,,,,,,0.0,,,,,,,0.0,,,,
101,5,35.0,16,19,,,,,,,0.0,,,,,,,0.0,,,,
101,6,1.0,10,13,,,,,,,0.0,,,,,,,0.0,,,,
101,6,1.0,10,14,1.0,1080.0,700.0,0.0,2.0,,0.0,,0.0,500.0,0.0,100.0,100.0,2140.0,,,,
101,6,1.0,10,14,5.0,2160.0,1150.0,0.0,2.0,,0.0,,0.0,900.0,0.0,150.0,100.0,3745.0,,,,
101,6,1.0,10,14,3.0,1080.0,450.0,0.0,2.0,,0.0,,0.0,400.0,0.0,50.0,0.0,1605.0,,,,
101,6,1.0,10,19,5.0,1440.0,700.0,0.0,2.0,,0.0,,0.0,700.0,0.0,0.0,0.0,2870.0,,,,
101,6,1.0,10,19,3.0,720.0,300.0,0.0,2.0,,0.0,,0.0,300.0,0.0,0.0,0.0,1230.0,,,,
101,6,1.0,10,19,1.0,720.0,400.0,0.0,2.0,,0.0,,0.0,400.0,0.0,0.0,0.0,1640.0,,,,
101,6,7.0,17,13,,,,,,,0.0,,,,,,,0.0,,,,
101,6,7.0,17,14,,,,,,,0.0,,,,,,,0.0,,,,
101,6,7.0,17,19,,,,,,,0.0,,,,,,,0.0,,,,
101,6,11.0,12,13,5.0,3600.0,1580.0,0.0,2.0,,0.0,,100.0,0.0,0.0,150.0,1330.0,6478.0,,,,
101,6,11.0,12,13,1.0,2160.0,1100.0,0.0,2.0,,0.0,,50.0,0.0,0.0,100.0,950.0,4510.0,,,,
101,6,11.0,12,13,3.0,1440.0,480.0,0.0,2.0,,0.0,,50.0,0.0,0.0,50.0,380.0,1968.0,,,,
101,6,11.0,12,14,,,,,,,0.0,,,,,,,0.0,,,,
101,6,11.0,12,15,,,,,,,0.0,,,,,,,0.0,,,,
101,6,21.0,13,13,,,,,,,0.0,,,,,,,0.0,,,,
101,6,21.0,13,14,,,,,,,0.0,,,,,,,0.0,,,,
101,6,21.0,13,15,,,,,,,0.0,,,,,,,0.0,,,,
101,6,25.0,5,13,,,,,,,0.0,,,,,,,0.0,,,,
101,6,25.0,5,14,,,,,,,0.0,,,,,,,0.0,,,,
101,6,25.0,5,15,,,,,,,0.0,,,,,,,0.0,,,,
101,6,27.0,5,13,,,,,,,0.0,,,,,,,0.0,,,,
101,6,27.0,5,14,,,,,,,0.0,,,,,,,0.0,,,,
101,6,27.0,5,15,,,,,,,0.0,,,,,,,0.0,,,,
101,7,3.0,19,13,,,,,,,0.0,,,,,,,0.0,,,,
101,7,3.0,19,14,,,,,,,0.0,,,,,,,0.0,,,,
101,7,3.0,19,15,,,,,,,0.0,,,,,,,0.0,,,,
101,7,11.0,15,13,,,,,,,0.0,,,,,,,0.0,,,,
101,7,11.0,15,14,,,,,,,0.0,,,,,,,0.0,,,,
101,7,11.0,15,15,,,,,,,0.0,,,,,,,0.0,,,,
101,7,15.0,13,15,,,,,,,0.0,,,,,,,0.0,,,,
101,7,15.0,13,19,,,,,,,0.0,,,,,,,0.0,,,,
101,7,15.0,13,20,,,,,,,0.0,,,,,,,0.0,,,,
101,7,19.0,25,13,,,,,,,0.0,,,,,,,0.0,,,,
101,7,19.0,25,15,,,,,,,0.0,,,,,,,0.0,,,,
101,7,19.0,25,20,,,,,,,0.0,,,,,,,0.0,,,,
101,7,21.0,16,13,,,,,,,0.0,,,,,,,0.0,,,,
101,7,21.0,16,15,,,,,,,0.0,,,,,,,0.0,,,,
101,7,21.0,16,20,,,,,,,0.0,,,,,,,0.0,,,,
101,7,27.0,3,13,,,,,,,0.0,,,,,,,0.0,,,,
101,7,27.0,3,14,,,,,,,0.0,,,,,,,0.0,,,,
101,7,27.0,3,15,,,,,,,0.0,,,,,,,0.0,,,,
101,7,33.0,21,15,,,,,,,0.0,,,,,,,0.0,,,,
