tinh,huyen,xa,diaban,hoso,m4c1ma1,m4c1c2,m4c1c3,m4c1c4,m4c1c5,m4c1c6,m4c1c7,m4c1c8,m4c1c9a,m4c1c9b,m4c1c9c,m4c1c10,m4c1c11,m4c1c12,m4c1c13,m4c1c14,m4c1c15,m4c1c16,m4c1c17,m4c1c18,m4c1c19,m4c1c20,m4c1c21,m4c1c22,m4c1c23,m4c1c24,m4c1c25,m4c1c25a
101,1,3.0,1,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,3.0,1,14,1.0,14.0,2.0,12.0,20.0,1.0,,100.0,1.0,0.0,,1.0,1.0,1.0,1.0,1998.0,3.0,1.0,717.0,8604.0,2.0,,2.0,,2.0,,8604.0,8604.0
101,1,3.0,1,15,1.0,86.0,1.0,12.0,20.0,1.0,,100.0,1.0,7.0,0.0,1.0,1.0,0.0,0.0,1993.0,3.0,1.0,3678.0,44136.0,2.0,,2.0,,2.0,,44136.0,44136.0
101,1,9.0,19,15,1.0,56.0,1.0,12.0,25.0,1.0,,100.0,1.0,0.0,,2.0,2.0,0.0,0.0,1993.0,2.0,1.0,22990.0,275880.0,2.0,,2.0,,2.0,,275880.0,275880.0
101,1,9.0,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,9.0,19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,15.0,50,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,15.0,50,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,15.0,50,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,1,17.0,2,13,1.0,56.0,1.0,12.0,30.0,1.0,,100.0,7.0,0.0,,1.0,1.0,0.0,0.0,1988.0,3.0,1.0,895.0,10740.0,2.0,,2.0,,2.0,,10740.0,10740.0
101,1,17.0,2,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
