tinh,huyen,xa,diaban,hoso,m4c2ma,m4c2c26,m4c2c27,m4c2c28
101,1,3.0,1,13,,,,
101,1,3.0,1,14,1.0,15.0,,2688.0
101,1,3.0,1,14,1.0,2.0,51.0,612.0
101,1,3.0,1,14,1.0,1.0,102.0,1224.0
101,1,3.0,1,14,1.0,7.0,51.0,612.0
101,1,3.0,1,14,1.0,16.0,,2688.0
101,1,3.0,1,14,1.0,3.0,20.0,240.0
101,1,3.0,1,15,1.0,1.0,736.0,8832.0
101,1,3.0,1,15,1.0,15.0,,11028.0
101,1,3.0,1,15,1.0,5.0,183.0,2196.0
101,1,3.0,1,15,1.0,16.0,,11028.0
101,1,9.0,19,15,1.0,12.0,92.0,1104.0
101,1,9.0,19,15,1.0,16.0,,187152.0
101,1,9.0,19,15,1.0,1.0,15265.0,183180.0
101,1,9.0,19,15,1.0,2.0,46.0,552.0
101,1,9.0,19,15,1.0,15.0,,187152.0
101,1,9.0,19,15,1.0,5.0,193.0,2316.0
101,1,9.0,19,19,,,,
101,1,9.0,19,20,,,,
101,1,15.0,50,13,,,,
101,1,15.0,50,14,,,,
101,1,15.0,50,15,,,,
101,1,17.0,2,13,1.0,16.0,,1668.0
101,1,17.0,2,13,1.0,5.0,1.0,12.0
101,1,17.0,2,13,1.0,1.0,128.0,1536.0
101,1,17.0,2,13,1.0,15.0,,1668.0
101,1,17.0,2,13,1.0,2.0,9.0,108.0
101,1,17.0,2,13,1.0,4.0,1.0,12.0
101,1,17.0,2,14,,,,
101,1,17.0,2,19,1.0,16.0,,26364.0
101,1,17.0,2,19,1.0,4.0,9.0,108.0
101,1,17.0,2,19,1.0,1.0,2115.0,25380.0
101,1,17.0,2,19,1.0,15.0,,26364.0
101,1,17.0,2,19,1.0,5.0,55.0,660.0
101,1,17.0,2,19,1.0,2.0,18.0,216.0
101,1,21.0,36,13,,,,
101,1,21.0,36,15,,,,
101,1,21.0,36,19,2.0,6.0,54.0,648.0
101,1,21.0,36,19,3.0,15.0,,60312.0
101,1,21.0,36,19,3.0,12.0,628.0,4396.0
101,1,21.0,36,19,3.0,10.0,4038.0,28266.0
101,1,21.0,36,19,3.0,14.0,135.0,945.0
101,1,21.0,36,19,3.0,3.0,449.0,3143.0
101,1,21.0,36,19,1.0,12.0,179.0,1611.0
101,1,21.0,36,19,1.0,3.0,897.0,8073.0
101,1,21.0,36,19,3.0,4.0,135.0,945.0
101,1,21.0,36,19,2.0,4.0,18.0,216.0
101,1,21.0,36,19,1.0,15.0,,26163.0
101,1,21.0,36,19,1.0,16.0,,26163.0
101,1,21.0,36,19,2.0,2.0,27.0,324.0
101,1,21.0,36,19,1.0,14.0,27.0,243.0
101,1,21.0,36,19,1.0,7.0,718.0,6462.0
101,1,21.0,36,19,1.0,4.0,81.0,729.0
101,1,21.0,36,19,2.0,16.0,,4320.0
101,1,21.0,36,19,1.0,1.0,718.0,6462.0
101,1,21.0,36,19,1.0,6.0,224.0,2016.0
101,1,21.0,36,19,2.0,7.0,108.0,1296.0
101,1,21.0,36,19,3.0,2.0,269.0,1883.0
101,1,21.0,36,19,3.0,6.0,90.0,630.0
101,1,21.0,36,19,2.0,15.0,,4320.0
101,1,21.0,36,19,3.0,5.0,1795.0,12565.0
101,1,21.0,36,19,2.0,14.0,45.0,540.0
101,1,21.0,36,19,3.0,16.0,,24124.80078125
101,1,21.0,36,19,1.0,2.0,63.0,567.0
101,1,21.0,36,19,2.0,3.0,45.0,540.0
101,1,21.0,36,19,3.0,9.0,1077.0,7539.0
101,1,21.0,36,19,2.0,1.0,63.0,756.0
101,1,23.0,18,13,,,,
101,1,23.0,18,24,,,,
101,1,23.0,18,29,1.0,12.0,183.0,2196.0
101,1,23.0,18,29,1.0,2.0,46.0,552.0
101,1,23.0,18,29,1.0,4.0,138.0,1656.0
101,1,23.0,18,29,1.0,8.0,5518.0,66216.0
101,1,23.0,18,29,1.0,3.0,92.0,1104.0
101,1,23.0,18,29,1.0,15.0,,71724.0
101,1,23.0,18,29,1.0,16.0,,71724.0
101,3,3.0,23,13,1.0,2.0,17.0,204.0
101,3,3.0,23,13,1.0,6.0,9.0,108.0
101,3,3.0,23,13,1.0,3.0,26.0,312.0
101,3,3.0,23,13,1.0,1.0,5294.0,63528.0
101,3,3.0,23,13,1.0,4.0,85.0,1020.0
101,3,3.0,23,13,1.0,15.0,,65688.0
101,3,3.0,23,13,1.0,5.0,43.0,516.0
101,3,3.0,23,13,1.0,16.0,,65688.0
101,3,3.0,23,15,,,,
101,3,3.0,23,19,,,,
101,3,11.0,9,15,2.0,12.0,92.0,1104.0
101,3,11.0,9,15,1.0,15.0,,3780.0
101,3,11.0,9,15,1.0,12.0,18.0,216.0
101,3,11.0,9,15,1.0,16.0,,3780.0
101,3,11.0,9,15,1.0,5.0,120.0,1440.0
101,3,11.0,9,15,2.0,7.0,1150.0,13800.0
101,3,11.0,9,15,2.0,15.0,,50772.0
101,3,11.0,9,15,1.0,4.0,92.0,1104.0
101,3,11.0,9,15,2.0,6.0,230.0,2760.0
101,3,11.0,9,15,2.0,16.0,,50772.0
101,3,11.0,9,15,2.0,5.0,2759.0,33108.0
101,3,11.0,9,15,1.0,6.0,9.0,108.0
101,3,11.0,9,15,1.0,3.0,76.0,912.0
101,3,11.0,9,19,,,,
101,3,11.0,9,20,1.0,16.0,,192.0
101,3,11.0,9,20,1.0,6.0,8.0,96.0
101,3,11.0,9,20,1.0,5.0,8.0,96.0
