tinh,huyen,xa,diaban,hoso,m4d1c2_01,m4d1c2_02,m4d1c2_03,m4d1c2_04,m4d1c2_05,m4d1c2_06,m4d1c2_07,m4d1c2_08,m4d1c2_09,m4d1c2_10,m4d1c2_11,m4d1c2_12,m4d2c2_1,m4d2c2_2,m4d2c2_3,m4d2c2_4,m4d2c2_5
101,1,3.0,1,13,0.0,4620.0,9426.0,0.0,0.0,0.0,0.0,0.0,0.0,16633.0,0.0,0.0,0,0,0,0,0
101,1,3.0,1,14,0.0,6629.0,22728.0,0.0,0.0,0.0,0.0,0.0,113640.0,0.0,0.0,0.0,0,0,0,0,0
101,1,3.0,1,15,0.0,4735.0,31819.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,9.0,19,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,9.0,19,19,0.0,0.0,60989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,9.0,19,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,15.0,50,13,0.0,9470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,15.0,50,14,0.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,15.0,50,15,0.0,947.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,17.0,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,10000,0
101,1,17.0,2,14,0.0,517.0,9980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,17.0,2,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,21.0,36,13,0.0,3511.0,30723.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,21.0,36,15,0.0,7023.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,21.0,36,19,0.0,3696.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,23.0,18,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,23.0,18,24,0.0,0.0,17045.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,1,23.0,18,29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,3,3.0,23,13,0.0,878.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,3,3.0,23,15,0.0,6891.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,3,3.0,23,19,0.0,7393.0,12198.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,3,11.0,9,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,3,11.0,9,19,0.0,439.0,12640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
101,3,11.0,9,20,0.0,8535.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,110000,0
101,3,13.0,8,13,0.0,924.0,7762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0
