tinh,huyen,xa,diaban,hoso,m5b4c2_1,m5b4c2_2,m5b4c2_3,m5b4c2_4,m5b4c2_5,m5b4c2_6,m5b4c2_7,m5b4c2_8
101,1,3.0,1,13,0,0,0,0,0,0,0,0
101,1,3.0,1,14,0,0,0,50000,0,0,0,0
101,1,3.0,1,15,0,0,0,0,0,0,0,0
101,1,9.0,19,15,0,0,0,0,0,0,0,0
101,1,9.0,19,19,0,0,0,0,0,0,0,0
101,1,9.0,19,20,0,0,0,0,0,0,0,0
101,1,15.0,50,13,0,0,0,0,0,0,0,0
101,1,15.0,50,14,0,0,0,0,0,0,0,0
101,1,15.0,50,15,0,0,0,0,0,0,0,0
101,1,17.0,2,13,0,0,0,0,0,0,0,0
101,1,17.0,2,14,0,0,0,0,0,0,0,0
101,1,17.0,2,19,0,0,0,0,0,0,0,0
101,1,21.0,36,13,0,0,0,0,0,0,0,0
101,1,21.0,36,15,0,0,0,0,0,0,0,0
101,1,21.0,36,19,0,0,0,20000,0,0,0,0
101,1,23.0,18,13,0,0,0,0,0,0,0,0
101,1,23.0,18,24,0,0,0,0,0,0,0,0
101,1,23.0,18,29,0,0,0,0,0,0,0,0
101,3,3.0,23,13,0,0,0,0,0,0,0,0
101,3,3.0,23,15,0,0,0,0,0,0,0,0
101,3,3.0,23,19,0,0,30000,15000,0,0,0,0
101,3,11.0,9,15,0,0,0,217000,0,0,0,0
101,3,11.0,9,19,0,0,0,44000,0,0,0,0
101,3,11.0,9,20,96000,0,0,0,0,0,0,0
101,3,13.0,8,13,0,0,0,48057,0,0,0,0
101,3,13.0,8,14,0,0,0,4663,0,0,0,0
101,3,13.0,8,15,0,0,0,12731,0,0,0,0
101,5,3.0,17,13,0,0,0,0,0,0,0,0
101,5,3.0,17,14,0,0,0,0,0,0,0,0
101,5,3.0,17,20,0,0,0,20000,0,0,0,0
101,5,11.0,7,13,0,0,0,0,0,0,0,0
101,5,11.0,7,14,0,0,0,15000,0,0,0,0
101,5,11.0,7,15,0,0,0,19000,0,0,0,0
101,5,17.0,18,13,0,0,0,5000,0,0,0,0
101,5,17.0,18,14,0,0,0,0,0,0,0,0
101,5,17.0,18,19,0,0,0,0,0,0,0,0
101,5,25.0,12,13,0,0,0,0,0,0,0,0
101,5,25.0,12,14,0,0,0,0,0,0,0,0
101,5,25.0,12,15,0,0,0,0,0,0,0,0
101,5,33.0,12,14,0,0,0,0,0,0,0,0
101,5,33.0,12,15,0,0,0,0,0,0,0,0
101,5,33.0,12,24,0,0,0,0,0,0,0,0
101,5,35.0,16,14,0,0,0,0,5000,0,0,0
101,5,35.0,16,15,0,0,0,0,0,0,0,0
101,5,35.0,16,19,0,0,0,0,0,0,0,0
101,6,1.0,10,13,0,0,0,0,0,0,0,0
101,6,1.0,10,14,0,0,0,0,0,0,0,0
101,6,1.0,10,19,0,0,0,0,0,0,0,0
101,6,7.0,17,13,400,6000,0,0,0,0,0,0
101,6,7.0,17,14,97,0,0,0,0,0,0,0
101,6,7.0,17,19,0,0,0,0,0,0,0,0
101,6,11.0,12,13,0,0,0,0,0,0,0,0
101,6,11.0,12,14,0,0,0,0,0,0,0,0
