tinh,huyen,xa,diaban,hoso,m6ma1,m6ma11,m6ma1a,m6ma1b
101,1,3.0,1,13,50.0,,,
101,1,3.0,1,13,29.0,,,
101,1,3.0,1,13,53.0,,,
101,1,3.0,1,13,54.0,,,
101,1,3.0,1,13,33.0,,,
101,1,3.0,1,13,20.0,,,
101,1,3.0,1,13,41.0,,,
101,1,3.0,1,13,57.0,,,
101,1,3.0,1,13,48.0,,,
101,1,3.0,1,13,56.0,,,
101,1,3.0,1,13,21.0,,,
101,1,3.0,1,13,51.0,,,
101,1,3.0,1,14,20.0,,,
101,1,3.0,1,14,33.0,,,
101,1,3.0,1,14,29.0,,,
101,1,3.0,1,14,53.0,,,
101,1,3.0,1,14,61.0,,,
101,1,3.0,1,14,51.0,,,
101,1,3.0,1,14,40.0,,,
101,1,3.0,1,14,35.0,,,
101,1,3.0,1,14,56.0,,,
101,1,3.0,1,14,34.0,,,
101,1,3.0,1,14,46.0,,,
101,1,3.0,1,14,57.0,,,
101,1,3.0,1,14,49.0,,,
101,1,3.0,1,14,52.0,,,
101,1,3.0,1,14,41.0,,,
101,1,3.0,1,14,54.0,,,
101,1,3.0,1,14,48.0,,,
101,1,3.0,1,15,52.0,,,
101,1,3.0,1,15,41.0,,,
101,1,3.0,1,15,48.0,,,
101,1,3.0,1,15,33.0,,,
101,1,3.0,1,15,50.0,,,
101,1,3.0,1,15,29.0,,,
101,1,3.0,1,15,34.0,,,
101,1,3.0,1,15,20.0,,,
101,1,3.0,1,15,53.0,,,
101,1,3.0,1,15,43.0,,,
101,1,3.0,1,15,56.0,,,
101,1,3.0,1,15,40.0,,,
101,1,3.0,1,15,51.0,,,
101,1,3.0,1,15,60.0,,,
101,1,3.0,1,15,54.0,,,
101,1,9.0,19,15,54.0,,,
101,1,9.0,19,15,41.0,,,
101,1,9.0,19,15,53.0,,,
101,1,9.0,19,15,20.0,,,
101,1,9.0,19,15,29.0,,,
101,1,9.0,19,15,52.0,,,
101,1,9.0,19,15,34.0,,,
101,1,9.0,19,15,40.0,,,
101,1,9.0,19,15,48.0,,,
101,1,9.0,19,15,60.0,,,
101,1,9.0,19,15,50.0,,,
101,1,9.0,19,19,52.0,,,
101,1,9.0,19,19,41.0,,,
101,1,9.0,19,19,48.0,,,
101,1,9.0,19,19,46.0,,,
101,1,9.0,19,19,50.0,,,
101,1,9.0,19,19,54.0,,,
101,1,9.0,19,19,53.0,,,
101,1,9.0,19,19,29.0,,,
101,1,9.0,19,19,40.0,,,
101,1,9.0,19,19,20.0,,,
101,1,9.0,19,19,60.0,,,
101,1,9.0,19,19,34.0,,,
101,1,9.0,19,20,48.0,,,
101,1,9.0,19,20,34.0,,,
101,1,9.0,19,20,54.0,,,
101,1,9.0,19,20,41.0,,,
101,1,9.0,19,20,53.0,,,
101,1,9.0,19,20,56.0,,,
101,1,9.0,19,20,40.0,,,
101,1,9.0,19,20,20.0,,,
101,1,15.0,50,13,46.0,,,
101,1,15.0,50,13,50.0,,,
101,1,15.0,50,13,43.0,,,
101,1,15.0,50,13,20.0,,,
101,1,15.0,50,13,51.0,,,
101,1,15.0,50,13,41.0,,,
101,1,15.0,50,13,53.0,,,
101,1,15.0,50,13,49.0,,,
101,1,15.0,50,13,33.0,,,
101,1,15.0,50,13,34.0,,,
101,1,15.0,50,13,48.0,,,
101,1,15.0,50,13,54.0,,,
101,1,15.0,50,13,56.0,,,
101,1,15.0,50,13,58.0,,,
101,1,15.0,50,13,52.0,,,
101,1,15.0,50,14,48.0,,,
101,1,15.0,50,14,41.0,,,
101,1,15.0,50,14,50.0,,,
101,1,15.0,50,14,61.0,,,
101,1,15.0,50,14,34.0,,,
101,1,15.0,50,14,54.0,,,
101,1,15.0,50,14,20.0,,,
101,1,15.0,50,14,46.0,,,
101,1,15.0,50,14,49.0,,,
101,1,15.0,50,14,51.0,,,
101,1,15.0,50,14,52.0,,,
101,1,15.0,50,14,53.0,,,
101,1,15.0,50,14,40.0,,,
101,1,15.0,50,14,47.0,,,
101,1,15.0,50,14,43.0,,,
101,1,15.0,50,14,33.0,,,
101,1,15.0,50,15,34.0,,,
101,1,15.0,50,15,53.0,,,
101,1,15.0,50,15,52.0,,,
101,1,15.0,50,15,21.0,,,
101,1,15.0,50,15,44.0,,,
101,1,15.0,50,15,41.0,,,
101,1,15.0,50,15,46.0,,,
101,1,15.0,50,15,49.0,,,
101,1,15.0,50,15,54.0,,,
101,1,15.0,50,15,47.0,,,
101,1,15.0,50,15,48.0,,,
101,1,15.0,50,15,50.0,,,
101,1,15.0,50,15,51.0,,,
101,1,15.0,50,15,20.0,,,
101,1,15.0,50,15,60.0,,,
101,1,15.0,50,15,33.0,,,
101,1,17.0,2,13,41.0,,,
101,1,17.0,2,13,21.0,,,
101,1,17.0,2,13,51.0,,,
101,1,17.0,2,13,57.0,,,
101,1,17.0,2,14,20.0,,,
101,1,17.0,2,14,56.0,,,
101,1,17.0,2,14,41.0,,,
101,1,17.0,2,14,57.0,,,
101,1,17.0,2,14,46.0,,,
101,1,17.0,2,14,33.0,,,
101,1,17.0,2,14,52.0,,,
101,1,17.0,2,14,53.0,,,
101,1,17.0,2,14,21.0,,,
101,1,17.0,2,14,48.0,,,
101,1,17.0,2,14,29.0,,,
101,1,17.0,2,14,51.0,,,
101,1,17.0,2,14,35.0,,,
101,1,17.0,2,19,34.0,,,
101,1,17.0,2,19,20.0,,,
101,1,17.0,2,19,48.0,,,
101,1,17.0,2,19,54.0,,,
101,1,17.0,2,19,40.0,,,
101,1,17.0,2,19,56.0,,,
101,1,17.0,2,19,43.0,,,
101,1,17.0,2,19,58.0,,,
101,1,17.0,2,19,57.0,,,
101,1,17.0,2,19,21.0,,,
101,1,17.0,2,19,51.0,,,
101,1,17.0,2,19,33.0,,,
101,1,17.0,2,19,41.0,,,
101,1,21.0,36,13,53.0,,,
101,1,21.0,36,13,29.0,,,
101,1,21.0,36,13,33.0,,,
101,1,21.0,36,13,21.0,,,
101,1,21.0,36,13,57.0,,,
101,1,21.0,36,13,41.0,,,
101,1,21.0,36,13,55.0,,,
101,1,21.0,36,13,48.0,,,
101,1,21.0,36,13,56.0,,,
101,1,21.0,36,13,54.0,,,
101,1,21.0,36,15,56.0,,,
101,1,21.0,36,15,21.0,,,
101,1,21.0,36,15,57.0,,,
101,1,21.0,36,15,51.0,,,
101,1,21.0,36,15,48.0,,,
101,1,21.0,36,15,41.0,,,
101,1,21.0,36,15,54.0,,,
101,1,21.0,36,15,20.0,,,
101,1,21.0,36,19,40.0,,,
101,1,21.0,36,19,46.0,,,
101,1,21.0,36,19,56.0,,,
101,1,21.0,36,19,61.0,,,
101,1,21.0,36,19,51.0,,,
101,1,21.0,36,19,34.0,,,
101,1,21.0,36,19,53.0,,,
101,1,21.0,36,19,58.0,,,
101,1,21.0,36,19,20.0,,,
101,1,21.0,36,19,57.0,,,
101,1,21.0,36,19,60.0,,,
101,1,21.0,36,19,33.0,,,
101,1,21.0,36,19,41.0,,,
101,1,21.0,36,19,49.0,,,
101,1,21.0,36,19,50.0,,,
101,1,21.0,36,19,52.0,,,
101,1,21.0,36,19,48.0,,,
101,1,23.0,18,13,50.0,,,
101,1,23.0,18,13,54.0,,,
101,1,23.0,18,13,60.0,,,
101,1,23.0,18,13,40.0,,,
101,1,23.0,18,13,58.0,,,
101,1,23.0,18,13,52.0,,,
101,1,23.0,18,13,49.0,,,
101,1,23.0,18,13,48.0,,,
101,1,23.0,18,13,47.0,,,
101,1,23.0,18,13,20.0,,,
101,1,23.0,18,13,56.0,,,
101,1,23.0,18,13,34.0,,,
101,1,23.0,18,13,53.0,,,
101,1,23.0,18,13,41.0,,,
101,1,23.0,18,13,33.0,,,
101,1,23.0,18,13,46.0,,,
101,1,23.0,18,13,29.0,,,
101,1,23.0,18,13,57.0,,,
101,1,23.0,18,24,34.0,,,
101,1,23.0,18,24,50.0,,,
101,1,23.0,18,24,53.0,,,
101,1,23.0,18,24,51.0,,,
101,1,23.0,18,24,48.0,,,
101,1,23.0,18,24,60.0,,,
101,1,23.0,18,24,54.0,,,
101,1,23.0,18,24,52.0,,,
101,1,23.0,18,24,40.0,,,
101,1,23.0,18,24,20.0,,,
101,1,23.0,18,24,58.0,,,
101,1,23.0,18,24,46.0,,,
101,1,23.0,18,24,33.0,,,
101,1,23.0,18,24,57.0,,,
101,1,23.0,18,24,29.0,,,
101,1,23.0,18,24,41.0,,,
101,1,23.0,18,24,56.0,,,
101,1,23.0,18,29,53.0,,,
101,1,23.0,18,29,29.0,,,
101,1,23.0,18,29,49.0,,,
101,1,23.0,18,29,58.0,,,
101,1,23.0,18,29,56.0,,,
101,1,23.0,18,29,40.0,,,
101,1,23.0,18,29,34.0,,,
101,1,23.0,18,29,54.0,,,
101,1,23.0,18,29,60.0,,,
101,1,23.0,18,29,48.0,,,
101,1,23.0,18,29,33.0,,,
101,1,23.0,18,29,57.0,,,
