tinh,huyen,xa,diaban,hoso,m8c1a,m8c1b,m8c1c,m8c1d,m8c2a,m8c2b,m8c2c,m8c2d,m8c3a_1,m8c3b_1,m8c3a_2,m8c3b_2,m8c3a_3,m8c3b_3,m8c3a_4,m8c3b_4,m8c3a_5,m8c3b_5,m8c3a_6,m8c3b_6,m8c3a_7,m8c3b_7,m8c3a_8,m8c3b_8,m8c4a_1,m8c4b_1,m8c4a_2,m8c4b_2,m8c4a_3,m8c4b_3,m8c5,m8c6a,m8c6b,m8c6c
101,1,3.0,1,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,1,3.0,1,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,1,3.0,1,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,1,9.0,19,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,1,9.0,19,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,1,9.0,19,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,1,15.0,50,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,1,15.0,50,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,1,15.0,50,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,1,17.0,2,13,1,1,1,1,2.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2,,,
101,1,17.0,2,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,4,5.0,0.0,
101,1,17.0,2,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,1,21.0,36,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,1,21.0,36,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,1,21.0,36,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,1,23.0,18,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,1,23.0,18,24,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,1,23.0,18,29,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,3,3.0,23,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,3,3.0,23,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,3,3.0,23,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,3,11.0,9,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,3,11.0,9,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,3,11.0,9,20,2,2,1,1,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3,1.0,5.0,0.0
101,3,13.0,8,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,3,13.0,8,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,3,13.0,8,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1.0,2.0,0.0
101,5,3.0,17,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,4.0,0.0,
101,5,3.0,17,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,3.0,17,20,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,11.0,7,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,11.0,7,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,11.0,7,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,17.0,18,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,17.0,18,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.0,0.0,
101,5,17.0,18,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,25.0,12,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,25.0,12,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,25.0,12,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,33.0,12,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,33.0,12,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,33.0,12,24,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,35.0,16,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,5,35.0,16,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,5,35.0,16,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,6,1.0,10,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,2.0,0.0,
101,6,1.0,10,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,6,1.0,10,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,6,7.0,17,13,1,1,2,2,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2,,,
101,6,7.0,17,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.0,2.0,1.0
101,6,7.0,17,19,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
101,6,11.0,12,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,6,11.0,12,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,6,11.0,12,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,6,21.0,13,13,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,6,21.0,13,14,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,
101,6,21.0,13,15,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,
