tinh,huyen,xa,diaban,hoso,m8ma1,m8c8,m8c9,m8c10a,m8c10b,m8c11a,m8c11b,m8c12,m8c13,m8c14,m8c15a,m8c15b,m8c16,m8c17a,m8c17b
101,1,3.0,1,13,,,,,,,,,,,,,,,
101,1,3.0,1,14,,,,,,,,,,,,,,,
101,1,3.0,1,15,,,,,,,,,,,,,,,
101,1,9.0,19,15,,,,,,,,,,,,,,,
101,1,9.0,19,19,,,,,,,,,,,,,,,
101,1,9.0,19,20,,,,,,,,,,,,,,,
101,1,15.0,50,13,,,,,,,,,,,,,,,
101,1,15.0,50,14,,,,,,,,,,,,,,,
101,1,15.0,50,15,,,,,,,,,,,,,,,
101,1,17.0,2,13,1.0,9.0,,10000.0,0.0,5.0,2008.0,12.0,4.0,,0.65,8.0,0.0,5.0,2009.0
101,1,17.0,2,14,,,,,,,,,,,,,,,
101,1,17.0,2,19,,,,,,,,,,,,,,,
101,1,21.0,36,13,,,,,,,,,,,,,,,
101,1,21.0,36,15,,,,,,,,,,,,,,,
101,1,21.0,36,19,,,,,,,,,,,,,,,
101,1,23.0,18,13,,,,,,,,,,,,,,,
101,1,23.0,18,24,,,,,,,,,,,,,,,
101,1,23.0,18,29,,,,,,,,,,,,,,,
101,3,3.0,23,13,,,,,,,,,,,,,,,
101,3,3.0,23,15,,,,,,,,,,,,,,,
101,3,3.0,23,19,,,,,,,,,,,,,,,
101,3,11.0,9,15,,,,,,,,,,,,,,,
101,3,11.0,9,19,,,,,,,,,,,,,,,
101,3,11.0,9,20,1.0,8.0,,100000.0,100000.0,12.0,2007.0,-1.0,4.0,,0.0,,0.0,-2.0,-2.0
101,3,13.0,8,13,,,,,,,,,,,,,,,
101,3,13.0,8,14,,,,,,,,,,,,,,,
101,3,13.0,8,15,,,,,,,,,,,,,,,
101,5,3.0,17,13,,,,,,,,,,,,,,,
101,5,3.0,17,14,,,,,,,,,,,,,,,
101,5,3.0,17,20,,,,,,,,,,,,,,,
101,5,11.0,7,13,,,,,,,,,,,,,,,
101,5,11.0,7,14,,,,,,,,,,,,,,,
101,5,11.0,7,15,,,,,,,,,,,,,,,
101,5,17.0,18,13,,,,,,,,,,,,,,,
101,5,17.0,18,14,,,,,,,,,,,,,,,
101,5,17.0,18,19,,,,,,,,,,,,,,,
101,5,25.0,12,13,,,,,,,,,,,,,,,
101,5,25.0,12,14,,,,,,,,,,,,,,,
101,5,25.0,12,15,,,,,,,,,,,,,,,
101,5,33.0,12,14,,,,,,,,,,,,,,,
101,5,33.0,12,15,,,,,,,,,,,,,,,
101,5,33.0,12,24,,,,,,,,,,,,,,,
101,5,35.0,16,14,,,,,,,,,,,,,,,
