tinh,huyen,xa,diaban,wt45,wt36,wt9,tinh63,huyen63,xa63,diaban63,wt45_63,wt36_63,wt9_63
101,1,3.0,1,635,794,3175,101,1,3,1,539,789,2696
101,1,9.0,19,821,1026,4103,101,1,9,19,815,1019,4077
101,1,15.0,50,450,560,2245,101,1,15,50,447,558,2231
101,1,17.0,2,759,948,3791,101,1,17,2,753,942,3767
101,1,21.0,36,669,835,3343,101,1,21,36,664,831,3321
101,1,23.0,18,734,917,3671,101,1,23,18,553,692,3647
101,3,3.0,23,521,651,2608,101,3,3,23,518,814,2590
101,3,11.0,9,709,885,3541,101,3,11,9,704,880,3519
101,3,13.0,8,573,716,2865,101,3,13,8,569,711,2846
101,5,3.0,17,653,817,3266,101,5,3,17,603,754,3018
101,5,11.0,7,568,710,2841,101,5,11,7,565,706,2823
101,5,17.0,18,650,812,3250,101,5,17,18,647,807,3230
101,5,25.0,12,568,710,2841,101,5,25,12,565,706,2823
101,5,33.0,12,643,803,3214,101,5,33,12,640,798,3195
101,5,35.0,16,771,964,3857,101,5,35,16,460,958,2298
101,6,1.0,10,475,593,2370,101,6,1,10,471,589,2356
101,6,7.0,17,773,967,3868,101,6,7,17,768,961,3844
101,6,11.0,12,978,1223,4894,101,6,11,12,972,1215,4863
101,6,21.0,13,405,507,2026,101,6,21,13,403,502,2013
101,6,25.0,5,801,1003,4010,101,6,25,5,796,996,3985
101,6,27.0,5,850,1064,4251,101,6,27,5,845,1057,4225
101,7,3.0,19,669,835,3343,101,7,3,19,664,831,3321
101,7,11.0,15,764,955,3823,101,7,11,15,760,949,3799
101,7,15.0,13,703,880,3518,101,7,15,13,699,874,3496
101,7,19.0,25,969,1212,4848,101,7,19,25,378,1205,1892
101,7,21.0,16,657,823,3288,101,7,21,16,654,817,3267
101,7,27.0,3,625,782,3123,101,7,27,3,621,775,3103
101,7,33.0,21,737,921,3686,101,7,33,21,732,916,3663
101,7,37.0,15,557,696,2781,101,7,37,15,553,690,2764
101,8,3.0,7,785,983,3930,101,8,3,7,781,977,3906
101,8,5.0,16,675,842,3370,101,8,5,16,669,836,3348
101,8,7.0,18,644,805,3220,101,8,7,18,640,800,3199
101,8,15.0,27,735,919,3673,101,8,15,27,730,913,3651
101,8,19.0,22,817,1023,4091,101,8,19,22,814,1017,4065
101,8,25.0,6,962,1203,4814,101,8,25,6,956,1196,4783
101,8,27.0,16,987,1233,4933,101,8,27,16,981,1226,4903
101,9,3.0,23,543,678,2709,101,9,3,23,509,636,2693
101,9,5.0,8,651,814,3259,101,9,5,8,648,810,3239
101,9,11.0,35,801,1003,4010,101,9,11,35,796,996,3985
101,9,15.0,15,675,844,3375,101,9,15,15,671,838,3355
101,9,19.0,26,964,1205,4821,101,9,19,26,958,1198,4790
101,9,23.0,11,807,1008,4037,101,9,23,11,801,1003,4011
101,9,31.0,10,753,942,3770,101,9,31,10,749,937,3745
101,9,33.0,10,730,912,3650,101,9,33,10,725,908,3627
101,9,35.0,24,587,735,2938,101,9,35,24,584,730,2919
101,9,39.0,17,573,716,2861,101,9,39,17,569,711,2843
101,11,1.0,10,471,587,2352,101,11,1,10,468,584,2337
101,11,3.0,17,580,725,2900,101,11,3,17,575,720,2881
101,11,5.0,24,669,837,3348,101,11,5,24,666,833,3328
101,11,17.0,33,782,978,3912,101,11,17,33,598,747,3889
101,11,21.0,9,675,844,3373,101,11,21,9,671,838,3352
101,13,1.0,13,857,1071,4280,101,13,1,13,850,1064,4254
