idstd2015,id2015,idstd2005,id2005,firm_size,c9b,d1a3,d2,d10,d11,i2b,i4b,n2a,n2b,n2i,n5a,n5b,_2015_h8,k1c,k2c,_2005_q86a1,_2005_q86a2,_2005_q86a3,_2005_q86a4,_2005_q86a5,_2005_q86a6,_2005_q86a8,_2005_q86a9,_2005_q86a10,_2005_q86a11,_2005_q91a1,_2005_q91a7,_2005_q91a12,_2005_q87a,_2005_q87d,2015_cost_main_activity,2015_cost_theft,2015_cost_spoilage,2015_total_vrcost,2015_finance_on_credit,2015_finance_from_receivables,2005_total_reinvestment,2005_total_assets,2005_receivables,2005_total_cost
599613.0,0.0,60775.0,10597.0,2,0.0,40.0,28600000512.0,0.0,0.0,5000000.0,0.0,5542000128.0,0.0,0.0,530000000.0,0.0,0.0,0.0,100.0,28600.0,26850.0,18151.0,5542.0,400.0,0.0,930.0,510.0,1120.0,0.0,40431.0,7431.0,1114.0,1750.0,100.0,11440000204.8,0.0,0.0,530000000.0,0.0,530000000.0,1750.0,39317.0,1114.0,26653.0
599613.0,0.0,60775.0,0.0,2,0.0,100.0,27500000000.0,0.0,0.0,54000000.0,0.0,2900000000.0,280000000.0,0.0,200000000.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27500000000.0,0.0,0.0,200000000.0,200000000.0,200000000.0,0.0,0.0,0.0,0.0
599613.0,10697.0,0.0,0.0,2,0.0,100.0,623000000000.0,1.0,1.0,0.0,0.0,6800000000.0,900000000.0,0.0,0.0,0.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,623000000000.0,6230000000.0,6230000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599614.0,0.0,60785.0,10619.0,2,0.0,100.0,67328000000.0,0.0,0.2,10000000.0,0.0,16231999488.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,67328.0,64928.0,35710.0,16232.0,3210.0,0.0,0.0,180.0,3246.0,0.0,69092.0,30195.0,570.0,1728.0,0.0,67328000000.0,0.0,134656000.0,0.0,0.0,0.0,0.0,68522.0,570.0,58578.0
599614.0,0.0,60785.0,0.0,2,0.0,80.0,90000000000.0,0.0,0.0,600000000.0,0.0,9900000000.0,1170000000.0,0.0,0.0,0.0,0.0,98.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72000000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599614.0,10698.0,0.0,0.0,2,0.0,95.0,98000000000.0,0.0,0.0,1000000000.0,0.0,11000000000.0,1200000000.0,0.0,2500000000.0,0.0,1200000000.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93100000000.0,0.0,0.0,3700000000.0,2960000000.0,2960000000.0,0.0,0.0,0.0,0.0
599615.0,0.0,60782.0,10613.0,2,0.0,37.0,27971999744.0,0.0,0.0,0.0,0.0,1116000000.0,0.0,0.0,0.0,1263000064.0,0.0,0.0,80.0,27972.0,26870.0,24267.0,1116.0,355.0,18.0,92.0,480.0,104.0,420.0,26204.0,22804.0,9217.0,1102.0,100.0,10349639905.28,0.0,0.0,1263000064.0,0.0,1010400051.2,1102.0,16987.0,9217.0,26852.0
599615.0,0.0,60782.0,0.0,2,0.0,70.0,150000000000.0,0.0,0.0,40000000.0,0.0,2700000000.0,150000000.0,0.0,1000000000.0,0.0,0.0,60.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105000000000.0,0.0,0.0,1000000000.0,600000000.0,900000000.0,0.0,0.0,0.0,0.0
599615.0,10700.0,0.0,0.0,2,0.0,6.0,40000000000.0,0.0,0.0,72000000.0,0.0,4500000000.0,2000000000.0,8500000000.0,200000000.0,0.0,10000000.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400000000.0,0.0,0.0,210000000.0,0.0,168000000.0,0.0,0.0,0.0,0.0
599616.0,0.0,60274.0,0.0,2,0.0,100.0,35000000000.0,0.0,0.0,90000000.0,0.0,1400000000.0,100000000.0,0.0,3000000000.0,4200000000.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35000000000.0,0.0,0.0,7200000000.0,7200000000.0,7200000000.0,0.0,0.0,0.0,0.0
599616.0,10702.0,0.0,0.0,2,0.0,100.0,63000000000.0,0.0,0.0,3500000000.0,0.0,8000000000.0,1400000000.0,0.0,8000000000.0,0.0,1000000000.0,90.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63000000000.0,0.0,0.0,9000000000.0,8100000000.0,9000000000.0,0.0,0.0,0.0,0.0
599617.0,0.0,60016.0,0.0,2,0.0,70.0,10000000000.0,0.0,0.0,0.0,0.0,825000000.0,500000000.0,0.0,500000000.0,10000000000.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7000000000.0,0.0,0.0,10500000000.0,10500000000.0,10500000000.0,0.0,0.0,0.0,0.0
599617.0,10705.0,0.0,0.0,2,0.0,80.0,10000000000.0,0.0,0.0,200000000.0,0.0,4000000000.0,500000000.0,0.0,0.0,0.0,100000000.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8000000000.0,0.0,0.0,100000000.0,0.0,20000000.0,0.0,0.0,0.0,0.0
599618.0,0.0,60436.0,5422.0,2,0.0,40.0,1924999936.0,0.0,0.0,60000000.0,0.0,1080000000.0,0.0,0.0,3000000.0,0.0,0.0,0.0,0.0,1925.0,1895.0,710.0,1080.0,36.0,0.0,0.0,15.0,10.0,42.0,742.0,409.0,108.0,21.0,100.0,769999974.4,0.0,0.0,3000000.0,0.0,0.0,21.0,634.0,108.0,1893.0
599618.0,0.0,60436.0,0.0,2,0.0,100.0,2000000000.0,0.0,0.0,24000000.0,8000000.0,36000000.0,0.0,0.0,32000000.0,0.0,0.0,100.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000000000.0,0.0,0.0,32000000.0,32000000.0,16000000.0,0.0,0.0,0.0,0.0
599619.0,0.0,60428.0,5292.0,2,0.0,30.0,5200000000.0,0.0,0.0,0.0,0.0,900000000.0,0.0,0.0,0.0,0.0,0.0,25.0,10.0,5200.0,4820.0,2440.0,900.0,560.0,0.0,160.0,210.0,410.0,84.0,9180.0,3540.0,650.0,300.0,100.0,1560000000.0,0.0,0.0,0.0,0.0,0.0,300.0,8530.0,650.0,4764.0
599619.0,0.0,60428.0,0.0,2,100000000.0,100.0,12000000000.0,0.0,0.0,8000000000.0,0.0,400000000.0,1000000000.0,0.0,300000000.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12000000000.0,0.0,0.0,300000000.0,300000000.0,0.0,0.0,0.0,0.0,0.0
599619.0,10721.0,0.0,0.0,2,0.0,100.0,225400000000.0,1.0,1.0,0.0,0.0,4465000000.0,623000000.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,225400000000.0,2254000000.0,2254000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
599620.0,0.0,60459.0,5745.0,2,0.0,20.0,20000000000.0,0.0,0.0,100000000.0,0.0,1000000000.0,0.0,0.0,2000000000.0,2000000000.0,0.0,0.0,30.0,20000.0,18000.0,1240.0,1000.0,500.0,9000.0,5000.0,500.0,200.0,560.0,30000.0,10000.0,2000.0,2000.0,100.0,4000000000.0,0.0,0.0,4000000000.0,0.0,1200000000.0,2000.0,28000.0,2000.0,18000.0
599620.0,0.0,60459.0,0.0,2,0.0,100.0,17000000000.0,0.0,0.0,50000000.0,0.0,4000000000.0,150000000.0,0.0,2000000000.0,5000000000.0,0.0,70.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17000000000.0,0.0,0.0,7000000000.0,4900000000.0,5600000000.0,0.0,0.0,0.0,0.0
599620.0,10724.0,0.0,0.0,2,0.0,70.0,25000000000.0,-7.0,0.0,500000000.0,0.0,7500000000.0,360000000.0,0.0,10000000000.0,0.0,75000000.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17500000000.0,-1750000000.0,0.0,10075000000.0,10075000000.0,0.0,0.0,0.0,0.0,0.0
599621.0,0.0,60460.0,5761.0,2,0.0,65.0,25867999232.0,0.0,0.0,70000000.0,0.0,4714999808.0,0.0,0.0,4690999808.0,0.0,0.0,0.0,40.0,25868.0,24955.0,13580.0,4715.0,2394.0,0.0,0.0,290.0,3799.0,177.0,36100.0,12429.0,3087.0,834.0,95.0,16814199500.8,0.0,0.0,4690999808.0,0.0,1876399923.2,792.3,33013.0,3087.0,24955.0
599621.0,0.0,60460.0,0.0,2,0.0,50.0,8000000000.0,0.0,0.0,48000000.0,0.0,2000000000.0,200000000.0,0.0,700000000.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4000000000.0,0.0,0.0,700000000.0,489999999.99999994,489999999.99999994,0.0,0.0,0.0,0.0
599621.0,10725.0,0.0,0.0,2,0.0,50.0,6000000000.0,0.0,0.0,30000000.0,0.0,1600000000.0,36000000.0,0.0,0.0,0.0,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000000000.0,0.0,0.0,300000000.0,0.0,0.0,0.0,0.0,0.0,0.0
599622.0,0.0,60231.0,1167.0,2,0.0,40.0,300000000000.0,0.0,1.0,30000000.0,0.0,3288000000.0,0.0,0.0,1300000000.0,500000000.0,0.0,0.0,20.0,300000.0,307000.0,295083.0,3288.0,491.0,378.0,480.0,180.0,5100.0,0.0,23166.0,6766.0,2500.0,94.0,100.0,120000000000.0,0.0,3000000000.0,1800000000.0,0.0,360000000.0,94.0,20666.0,2500.0,305000.0
599622.0,0.0,60231.0,0.0,2,0.0,60.0,50000000000.0,0.0,5.0,120000000.0,0.0,15000000000.0,3000000000.0,0.0,25000000000.0,0.0,0.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30000000000.0,0.0,2500000000.0,25000000000.0,5000000000.0,5000000000.0,0.0,0.0,0.0,0.0
