idstd2015,id2015,idstd2005,id2005,firm_size,c9b,d1a3,d2,d10,d11,i2b,i4b,n2a,n2b,n2i,n5a,n5b,_2015_h8,k1c,k2c,_2005_q86a1,_2005_q86a2,_2005_q86a3,_2005_q86a4,_2005_q86a5,_2005_q86a6,_2005_q86a8,_2005_q86a9,_2005_q86a10,_2005_q86a11,_2005_q91a1,_2005_q91a7,_2005_q91a12,_2005_q87a,_2005_q87d,2015_cost_main_activity,2015_cost_theft,2015_cost_spoilage,2015_total_vrcost,2015_finance_on_credit,2015_finance_from_receivables,2005_total_reinvestment,2005_total_assets,2005_receivables,2005_total_cost
599616.0,0.0,60274.0,2198.0,1,0.0,97.0,7590000128.0,0.0,0.0,600000000000.0,0.0,444000000.0,0.0,0.0,825000000.0,20000000.0,0.0,0.0,100.0,7590.0,7282.0,4756.0,444.0,1702.0,48.0,239.0,19.0,42.0,32.0,10005.0,876.0,326.0,308.0,80.0,7362300124.16,0.0,0.0,845000000.0,0.0,845000000.0,246.4,9679.0,326.0,7282.0
599617.0,0.0,60016.0,110.0,1,0.0,40.0,9676000256.0,0.0,0.0,0.0,0.0,282000000.0,0.0,0.0,163000000.0,0.0,0.0,0.0,50.0,9676.0,9654.0,7161.0,282.0,68.0,6.0,0.0,40.0,72.0,117.0,2297.0,1065.0,249.0,15.0,0.0,3870400102.4,0.0,0.0,163000000.0,0.0,81500000.0,0.0,2048.0,249.0,7746.0
599618.0,10709.0,0.0,0.0,1,0.0,100.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,100000000.0,0.0,0.0,50.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000000.0,50000000.0,20000000.0,0.0,0.0,0.0,0.0
599624.0,0.0,60461.0,5768.0,1,0.0,100.0,10800000000.0,0.0,0.0,40000000.0,0.0,3000000000.0,0.0,0.0,90000000.0,0.0,0.0,10.0,50.0,10800.0,10476.0,6000.0,3000.0,300.0,0.0,135.0,15.0,590.0,89.0,7000.0,4100.0,1200.0,233.0,10.0,10800000000.0,0.0,0.0,90000000.0,9000000.0,45000000.0,23.3,5800.0,1200.0,10129.0
599625.0,0.0,60434.0,5360.0,1,0.0,40.0,10000000000.0,0.0,0.0,6000000.0,3000000.0,814000000.0,0.0,0.0,80000000.0,0.0,0.0,60.0,95.0,10000.0,9875.0,8490.0,814.0,35.0,0.0,60.0,15.0,112.0,7.0,1346.0,855.0,250.0,90.0,100.0,4000000000.0,0.0,0.0,80000000.0,48000000.0,76000000.0,90.0,1096.0,250.0,9533.0
599625.0,0.0,60434.0,0.0,1,100000000.0,90.0,50000000000.0,0.0,0.0,100000000.0,2000000.0,1100000000.0,100000000.0,0.0,2000000000.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000000000.0,0.0,0.0,2000000000.0,1600000000.0,1600000000.0,0.0,0.0,0.0,0.0
599630.0,0.0,60897.0,10854.0,1,0.0,100.0,180000000.0,0.0,0.0,170000000.0,0.0,652000000.0,0.0,0.0,597000000.0,0.0,0.0,0.0,100.0,180.0,2810.0,977.0,652.0,1150.0,0.0,0.0,0.0,28.0,0.0,2169.0,42.0,32.0,-800.0,0.0,180000000.0,0.0,0.0,597000000.0,0.0,597000000.0,-0.0,2137.0,32.0,2807.0
599632.0,0.0,60423.0,5154.0,1,0.0,50.0,6000000000.0,0.0,0.0,10000000.0,0.0,744000000.0,0.0,0.0,400000000.0,0.0,0.0,0.0,20.0,6000.0,5200.0,1406.0,744.0,200.0,500.0,650.0,300.0,800.0,600.0,3000.0,1800.0,250.0,800.0,100.0,3000000000.0,0.0,0.0,400000000.0,0.0,80000000.0,800.0,2750.0,250.0,5200.0
599632.0,0.0,60423.0,0.0,1,0.0,100.0,3900000000.0,0.0,0.0,0.0,0.0,336000000.0,42000000.0,0.0,100000000.0,0.0,0.0,70.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3900000000.0,0.0,0.0,100000000.0,70000000.0,70000000.0,0.0,0.0,0.0,0.0
599632.0,10749.0,0.0,0.0,1,0.0,70.0,5000000000.0,0.0,2.0,50000000.0,0.0,350000000.0,60000000.0,0.0,300000000.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3500000000.0,0.0,100000000.0,300000000.0,150000000.0,0.0,0.0,0.0,0.0,0.0
599635.0,0.0,60282.0,2312.0,1,0.0,70.0,460000000.0,0.0,0.0,500000.0,0.0,252400000.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,460.0,429.0,116.2,252.39999,28.0,0.0,0.0,0.0,14.4,18.0,451.0,156.0,0.0,23.0,100.0,322000000.0,0.0,0.0,0.0,0.0,0.0,23.0,451.0,0.0,428.99998999999997
