tinh,huyen,xa,diaban,hoso,matv,hsize,m1ac2,m1ac3,age,indi_income,HH_Income,hsize_working,indi_work_hours,hh_work_hours,avg_work_hours,HH_consumption,HH_consumption_avr,HH_Wealth
101,1,3,1,14,1,3,1,1,64,42351.0,56468.0,2.0,2496.0,4320.0,2160.0,94038.0,31346.0,0.0
101,1,3,1,15,1,2,1,1,61,42351.0,42351.0,1.0,2496.0,2496.0,2496.0,93917.6,46958.8,0.0
101,1,9,19,20,1,3,1,1,50,33979.0,47203.0,2.0,2112.0,3952.0,1976.0,46195.600000000006,15398.533333333335,0.0
101,1,15,50,13,1,4,1,1,35,91855.0,163382.0,2.0,3120.0,5232.0,2616.0,97436.8,24359.2,0.0
101,1,15,50,14,1,3,1,1,27,75290.0,152463.0,2.0,2112.0,4224.0,2112.0,101492.8,33830.933333333334,0.0
101,1,15,50,15,1,4,1,1,54,47622.0,114443.0,2.0,2112.0,4224.0,2112.0,95782.1,23945.525,0.0
101,1,17,2,14,1,3,1,1,57,38112.0,38112.0,1.0,1440.0,1440.0,1440.0,16190.0,5396.666666666667,0.0
101,3,3,23,15,1,4,1,1,46,21372.0,33585.0,2.0,2688.0,4704.0,2352.0,38550.2,9637.55,0.0
101,3,11,9,15,1,5,1,1,57,40751.0,91591.0,3.0,2112.0,7104.0,2368.0,51610.0,10322.0,0.0
101,3,11,9,19,1,7,1,1,89,28962.0,76609.0,3.0,2112.0,7392.0,2464.0,52427.3,7489.614285714286,0.0
101,3,11,9,20,1,4,1,1,46,12893.0,12893.0,1.0,2784.0,2784.0,2784.0,26452.7,6613.175,0.0
101,3,13,8,14,1,7,1,1,51,48852.0,48852.0,1.0,2688.0,2688.0,2688.0,65327.2,9332.457142857142,0.0
101,5,3,17,14,1,3,1,1,63,54183.0,54183.0,1.0,2808.0,2808.0,2808.0,51051.0,17017.0,0.0
101,5,11,7,15,1,5,1,1,43,35265.0,62081.0,2.0,2112.0,4224.0,2112.0,55300.2,11060.039999999999,0.0
101,5,25,12,13,1,4,1,1,44,16530.0,16530.0,1.0,1344.0,1344.0,1344.0,62477.9,15619.475,10000.0
101,5,25,12,15,1,3,1,1,53,29296.0,62724.0,2.0,3600.0,6000.0,3000.0,54835.0,18278.333333333332,0.0
101,5,33,12,14,1,4,1,1,40,39431.0,39431.0,1.0,2808.0,2808.0,2808.0,44415.399999999994,11103.849999999999,0.0
101,5,33,12,24,1,6,1,1,66,24949.0,39168.0,2.0,3024.0,5520.0,2760.0,60540.2,10090.033333333333,0.0
101,5,35,16,14,1,4,1,1,45,32533.0,32533.0,1.0,2112.0,2112.0,2112.0,79069.4,19767.35,163360.0
101,5,35,16,15,1,4,1,1,62,23353.0,23353.0,1.0,2304.0,2304.0,2304.0,70516.4,17629.1,500000.0
101,5,35,16,19,1,4,1,1,44,42391.0,42391.0,1.0,2700.0,2700.0,2700.0,71062.4,17765.6,133528.0
101,6,1,10,13,1,4,1,1,37,20587.0,20587.0,1.0,3120.0,3120.0,3120.0,30631.899999999998,7657.974999999999,0.0
101,6,7,17,13,1,6,1,1,72,11705.0,20866.0,2.0,3120.0,5304.0,2652.0,44326.1,7387.683333333333,0.0
101,6,7,17,19,1,4,1,1,34,34439.0,50969.0,2.0,3000.0,6120.0,3060.0,48383.0,12095.75,0.0
101,6,11,12,13,1,7,1,1,67,10178.0,10178.0,1.0,3024.0,3024.0,3024.0,40771.600000000006,5824.514285714286,0.0
101,6,11,12,15,1,3,1,1,26,16846.0,23434.0,2.0,2688.0,3588.0,1794.0,24493.9,8164.633333333334,0.0
101,6,25,5,13,1,5,1,1,47,26283.0,26283.0,1.0,2496.0,2496.0,2496.0,60459.3,12091.86,7000.0
101,6,25,5,14,1,5,1,1,53,3315.0,34040.0,3.0,2016.0,7668.0,2556.0,60559.5,12111.9,15000.0
101,6,27,5,14,1,4,1,1,51,24773.0,24773.0,1.0,2592.0,2592.0,2592.0,48678.2,12169.55,0.0
101,6,27,5,15,1,4,1,1,37,16138.0,16138.0,1.0,2586.0,2586.0,2586.0,34665.3,8666.325,0.0
101,7,3,19,15,1,5,1,1,42,84700.0,155284.0,2.0,2880.0,5760.0,2880.0,93818.6,18763.72,2002500.0
101,7,11,15,14,1,5,1,1,54,20063.0,20063.0,1.0,2496.0,2496.0,2496.0,44810.0,8962.0,0.0
