tinh,huyen,xa,diaban,hoso,matv,hsize,m1ac2,m1ac3,age,HH_Income,HH_consumption,HH_consumption_avr,HH_Wealth
101,1,3,1,14,1,3,1,1,64,56468.0,94038.0,31346.0,0.0
101,1,3,1,15,1,2,1,1,61,42351.0,93917.6,46958.8,0.0
101,1,9,19,15,1,2,1,1,50,0.0,35919.600000000006,17959.800000000003,0.0
101,1,9,19,20,1,3,1,1,50,47203.0,46195.600000000006,15398.533333333335,0.0
101,1,15,50,13,1,4,1,1,35,163382.0,97436.8,24359.2,0.0
101,1,15,50,14,1,3,1,1,27,152463.0,101492.8,33830.933333333334,0.0
101,1,15,50,15,1,4,1,1,54,114443.0,95782.1,23945.525,0.0
101,1,17,2,14,1,3,1,1,57,38112.0,16190.0,5396.666666666667,0.0
101,1,23,18,29,1,3,1,1,32,0.0,62778.5,20926.166666666668,0.0
101,3,3,23,13,1,4,1,1,46,0.0,41945.3,10486.325,0.0
101,3,3,23,15,1,4,1,1,46,33585.0,38550.2,9637.55,0.0
101,3,11,9,15,1,5,1,1,57,91591.0,51610.0,10322.0,0.0
101,3,11,9,19,1,7,1,1,89,76609.0,52427.3,7489.614285714286,0.0
101,3,11,9,20,1,4,1,1,46,12893.0,26452.7,6613.175,0.0
101,3,13,8,14,1,7,1,1,51,48852.0,65327.2,9332.457142857142,0.0
101,3,13,8,15,1,7,1,1,33,0.0,52383.7,7483.385714285714,0.0
101,5,3,17,14,1,3,1,1,63,54183.0,51051.0,17017.0,0.0
101,5,11,7,14,1,5,1,1,73,0.0,66360.6,13272.12,540000.0
101,5,11,7,15,1,5,1,1,43,62081.0,55300.2,11060.039999999999,0.0
101,5,17,18,13,1,1,1,1,50,0.0,18400.0,18400.0,7000.0
101,5,17,18,14,1,5,1,1,53,0.0,40588.3,8117.660000000001,500.0
101,5,17,18,19,1,5,1,1,71,0.0,75427.6,15085.52,5200.0
101,5,25,12,13,1,4,1,1,44,16530.0,62477.9,15619.475,10000.0
101,5,25,12,14,1,4,1,1,42,0.0,61422.4,15355.6,0.0
101,5,25,12,15,1,3,1,1,53,62724.0,54835.0,18278.333333333332,0.0
101,5,33,12,14,1,4,1,1,40,39431.0,44415.399999999994,11103.849999999999,0.0
101,5,33,12,24,1,6,1,1,66,39168.0,60540.2,10090.033333333333,0.0
101,5,35,16,14,1,4,1,1,45,32533.0,79069.4,19767.35,163360.0
101,5,35,16,15,1,4,1,1,62,23353.0,70516.4,17629.1,500000.0
101,5,35,16,19,1,4,1,1,44,42391.0,71062.4,17765.6,133528.0
101,6,1,10,13,1,4,1,1,37,20587.0,30631.899999999998,7657.974999999999,0.0
101,6,7,17,13,1,6,1,1,72,20866.0,44326.1,7387.683333333333,0.0
101,6,7,17,14,1,4,1,1,38,0.0,25537.9,6384.475,0.0
101,6,7,17,19,1,4,1,1,34,50969.0,48383.0,12095.75,0.0
101,6,11,12,13,1,7,1,1,67,10178.0,40771.600000000006,5824.514285714286,0.0
101,6,11,12,15,1,3,1,1,26,23434.0,24493.9,8164.633333333334,0.0
101,6,21,13,14,1,2,1,1,63,0.0,19843.6,9921.8,0.0
101,6,25,5,13,1,5,1,1,47,26283.0,60459.3,12091.86,7000.0
101,6,25,5,14,1,5,1,1,53,34040.0,60559.5,12111.9,15000.0
101,6,27,5,13,1,2,1,1,69,0.0,63381.3,31690.65,0.0
101,6,27,5,14,1,4,1,1,51,24773.0,48678.2,12169.55,0.0
101,6,27,5,15,1,4,1,1,37,16138.0,34665.3,8666.325,0.0
101,7,3,19,14,1,5,1,1,40,0.0,107879.0,21575.8,7000.0
101,7,3,19,15,1,5,1,1,42,155284.0,93818.6,18763.72,2002500.0
101,7,11,15,14,1,5,1,1,54,20063.0,44810.0,8962.0,0.0
101,7,11,15,15,1,5,1,1,75,158864.0,114853.7,22970.739999999998,0.0
101,7,19,25,13,1,5,1,1,75,63183.0,78675.4,15735.079999999998,0.0
101,7,21,16,15,1,6,1,1,92,79015.0,77457.4,12909.566666666666,1200.0
101,7,21,16,20,1,4,1,1,50,28119.0,70526.20000000001,17631.550000000003,0.0
101,7,27,3,13,1,4,1,1,55,0.0,51239.4,12809.85,4884.0
101,7,27,3,14,1,2,1,1,57,0.0,26821.600000000002,13410.800000000001,0.0
101,7,27,3,15,1,5,1,1,56,53300.0,57762.5,11552.5,0.0
101,7,33,21,15,1,3,1,1,50,106820.0,444434.3,148144.76666666666,0.0
101,7,33,21,20,1,4,1,1,53,0.0,133979.5,33494.875,507000.0
101,7,33,21,24,1,4,1,1,42,0.0,58514.0,14628.5,0.0
