tinh,huyen,xa,diaban,hoso,matv,hsize,m1ac2,m1ac3,m1ac5,m4ac6,m4ac7,m4ac8,m4ac11,m4ac12f,m4ac16,m4ac17,m4ac18,m4ac21,m4ac22f,m4ac25,indi_income,HH_Income,HH_wealth,HH_Wealth,m5a1c2b,m5a1c3b,HH_exp1,m5a2c6,m5a2c10,HH_exp2,m5b1c4,m5b1c5,HH_exp3,m5b2c2,m5b2c3,HH_exp4,m5b3c2,HH_exp5,m7c32,m7c36,m7c39,HH_exp6,HH_income,HH_consumption,HH_consumption_avr
101,1,3,1,14,1,3,1,1,64,12.0,26.0,8.0,39528.0,2823,0.0,0.0,0.0,0.0,0,0.0,42351.0,56468.0,0.0,0.0,3473.3,1146.0,4619.3,36904.7,0.0,36904.7,21586.0,0.0,21586.0,18950.0,0.0,18950.0,8150.0,8150.0,720.0,3000.0,108.0,3828.0,56468.0,94038.0,31346.0
101,1,3,1,15,1,2,1,1,61,12.0,20.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,42351.0,0.0,0.0,2957.7,573.0,3530.7,38741.9,0.0,38741.9,21488.0,0.0,21488.0,16235.0,0.0,16235.0,7850.0,7850.0,1000.0,5000.0,72.0,6072.0,42351.0,93917.6,46958.8
101,1,9,19,15,1,2,1,1,50,12.0,25.0,5.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1555.2,0.0,1555.2,17770.4,0.0,17770.4,7012.0,0.0,7012.0,7130.0,0.0,7130.0,760.0,760.0,180.0,1440.0,72.0,1692.0,0.0,35919.600000000006,17959.800000000003
101,1,9,19,20,1,3,1,1,50,12.0,22.0,8.0,33061.0,918,0.0,0.0,0.0,0.0,0,0.0,33979.0,47203.0,0.0,0.0,1993.9,0.0,1993.9,22501.7,0.0,22501.7,9280.0,0.0,9280.0,10040.0,0.0,10040.0,640.0,640.0,180.0,1440.0,120.0,1740.0,47203.0,46195.600000000006,15398.533333333335
101,1,15,50,13,1,4,1,1,35,12.0,26.0,10.0,79055.0,12800,0.0,0.0,0.0,0.0,0,0.0,91855.0,163382.0,0.0,0.0,5259.8,0.0,5259.8,51339.0,0.0,51339.0,17447.0,0.0,17447.0,17091.0,0.0,17091.0,1800.0,1800.0,840.0,3600.0,60.0,4500.0,163382.0,97436.8,24359.2
101,1,15,50,14,1,3,1,1,27,12.0,22.0,8.0,56468.0,18822,0.0,0.0,0.0,0.0,0,0.0,75290.0,152463.0,0.0,0.0,3567.4,764.0,4331.4,52250.4,0.0,52250.4,17660.0,320.0,17980.0,22031.0,0.0,22031.0,2200.0,2200.0,840.0,1800.0,60.0,2700.0,152463.0,101492.8,33830.933333333334
101,1,15,50,15,1,4,1,1,54,12.0,22.0,8.0,39528.0,8094,0.0,0.0,0.0,0.0,0,0.0,47622.0,114443.0,0.0,0.0,4885.4,0.0,4885.4,41726.7,0.0,41726.7,23575.0,0.0,23575.0,18515.0,0.0,18515.0,1200.0,1200.0,960.0,4800.0,120.0,5880.0,114443.0,95782.1,23945.525
101,1,17,2,14,1,3,1,1,57,9.0,20.0,8.0,33061.0,5051,0.0,0.0,0.0,0.0,0,0.0,38112.0,38112.0,0.0,0.0,907.9,0.0,907.9,10542.1,0.0,10542.1,2394.0,0.0,2394.0,525.0,0.0,525.0,213.0,213.0,300.0,1200.0,108.0,1608.0,38112.0,16190.0,5396.666666666667
101,1,23,18,29,1,3,1,1,32,12.0,30.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2797.5,764.0,3561.5,37084.0,0.0,37084.0,7018.0,0.0,7018.0,10970.0,0.0,10970.0,1230.0,1230.0,540.0,2230.0,145.0,2915.0,0.0,62778.5,20926.166666666668
101,3,3,23,13,1,4,1,1,46,12.0,28.0,9.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2052.4,119.4,2171.8,22053.5,0.0,22053.5,7295.0,0.0,7295.0,4965.0,0.0,4965.0,2100.0,2100.0,810.0,2400.0,150.0,3360.0,0.0,41945.3,10486.325
101,3,3,23,15,1,4,1,1,46,12.0,28.0,8.0,15702.0,5670,0.0,0.0,0.0,0.0,0,0.0,21372.0,33585.0,0.0,0.0,1790.9,172.9,1963.8000000000002,19626.4,0.0,19626.4,7582.0,0.0,7582.0,3488.0,0.0,3488.0,3600.0,3600.0,700.0,1350.0,240.0,2290.0,33585.0,38550.2,9637.55
101,3,11,9,15,1,5,1,1,57,12.0,22.0,8.0,33881.0,6870,0.0,0.0,0.0,0.0,0,0.0,40751.0,91591.0,0.0,0.0,2364.5,0.0,2364.5,21110.5,0.0,21110.5,6470.0,0.0,6470.0,9395.0,0.0,9395.0,5850.0,5850.0,940.0,5300.0,180.0,6420.0,91591.0,51610.0,10322.0
101,3,11,9,19,1,7,1,1,89,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,76609.0,0.0,0.0,2725.1,0.0,2725.1,21805.2,0.0,21805.2,7425.0,0.0,7425.0,11910.0,0.0,11910.0,2850.0,2850.0,1200.0,4260.0,252.0,5712.0,76609.0,52427.3,7489.614285714286
101,3,11,9,20,1,4,1,1,46,12.0,29.0,10.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,12893.0,0.0,0.0,1584.2,0.0,1584.2,15195.5,0.0,15195.5,3024.0,0.0,3024.0,3310.0,0.0,3310.0,1515.0,1515.0,720.0,960.0,144.0,1824.0,12893.0,26452.7,6613.175
101,3,13,8,14,1,7,1,1,51,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,48852.0,0.0,0.0,3825.6,0.0,3825.6,20657.6,4584.0,25241.6,11034.0,0.0,11034.0,18120.0,0.0,18120.0,3290.0,3290.0,0.0,3600.0,216.0,3816.0,48852.0,65327.2,9332.457142857142
